title,rel_year,director,producer,studio,prc,cat,award,lc
A Diary for Timothy,1945,Jennings,Basil Wright,Crown Film Unit ,bnw,docu,H****,Lidice town
Meshes of the Afternoon,1943,Deren,sp,ss,bnw,noir,H****,Lidice town
Earthquake,1974,Robson,J.Lang,Universal,tcol,,H*,L.A. city
Vautrin,1943,Billon,J.Lang,Universal,tcol,dram,H*,L.A. city
The Relic,1996,Hyams,Gale Anne Hurd,Fox,col,actn,,Natural History Museum museum
Is Paris Burning?,1966,Clement,Robert Dorfman,Fox,bnw,dram,AA,Paris city
L\\'Argent,1983,Bresson,Leon Carre,Gaumont,bnw,dram,,Paris city
Endless Night,1982,Gilliat,Gilliat,EMI,ecol,susp,H*,Paris city palace
When Dinosaurs Ruled The Earth,1970,V.Guest,Aida Young,Hammer,col,s.f.,H*,Brighton resort
A Matter of Time,1976,Minnelli,Grainger,AIP,tcol,18+,,Paris city
Project X,1974,W.Castle,W.Castle,Paramount,bnw,,,Paris city town
Auf Wiedersehen Francisca,1943,UnYear43,W.Castle,Paramount,bnw,,,Paris city town
The Murderer,1967,Mattsson,W.Castle,Paramount,bnw,susp,Baer,Paris city town csd
None But the Lonely Heart,1944,Odets,W.Castle,Paramount,bnw,dram,Baer,Paris city town csd
Act One,1963,Schary,Schary,Paramount,bnw,dram,Baer,Paris city town csd
Escape in the Desert,1945,Blatt,Alex Gottlieb,Warners,bnw,dram,,Paris city town csd desert
Seven Doors to Death,1944,Clifton,Alex Gottlieb,Warners,bnw,dram,,Paris city town csd desert
Don\'t Take it to Heart,1944,Dell,Sidney Box,GFD,bnw,,H*,Paris city town csd desert palace
Another Time; Another Place,1958,L.Allan,Charles Brackett,Paramount,bnw,susp,,London city
The Prince and the Showgirl,1958,L.Olivier,L.Olivier,Warners,tcol,romt,H*,London city
The Story of O,1959,Auger,L.Olivier,Warners,col,18+,H*,London city
Walking Tall,1973,Karlson,Mort Broskin,Bing Crosby Prod.,deluxe,actn,H*,Shanghai city theater csd
The Last Word,1973,R.Boulting,J.Boulting,Variety,col,,H*,Shanghai city theater csd school
The Black Sheep,1956,LeBorg,Koch,U.A.,col,horr,H*,Shanghai city theater csd school
Most Likely to Succeed,1962,Whorf,Hitchcock,Shamley,tv,susp,H*,Shanghai city theater csd school
Star Trek; the Motion Picture,1979,R.Wise,R.Wise,Universal,col,s.f.,H*,Cape Cod city resort space
The Lost Continent,1951,Newfield,Sigmund Neufeld,Lippert,bnw,s.f.,,Cape Cod city resort space
The First Front,1949,Petrov,Sigmund Neufeld,Lippert,bnw,hist,,Cape Cod city resort space
Last on a Train,1945,David,Sigmund Neufeld,Lippert,bnw,,,Cape Cod city resort space train
The Seventh Veil,1945,Bennett,Zimbalist,MGM,tcol,,AAN,Cape Cod city resort space train
The Dead Pool,1988,D.Siegel,David Valdes,Universal,col,west,,S.F. city
Spain,1979,E.Kazan,Sam Spiegel,Warners,col,biop,H***,Hollywood town
Frankie and Johnny,1966,deCordova,Edward Small,U.A.,col,romt,,Chicago city school ship
Airport,1970,Seaton,Jaque Mapes,Universal,acol,romt,H***,Boeing 707 airplane
Road to Bali,1952,Walker,Hary Tugend,Paramount,tcol,romt,H*,Boeing 707 airplane
In the Presence of a Clown,1997,I.Bergman,Jorn Donner,AB Cinematograph,ecol,dram,H**,Boeing 707 airplane csd hotel hospital resort town csd theater
The Bad News Bears Go to Japan,1978,Berry,Erik Charell,Universal,bnw,,,Boeing 707 airplane csd hotel hospital resort town csd theater
Dillinger,1945,M.Nosseck,Maurice King,Monogram,bnw,susp,H*,Boeing 707 airplane csd hotel hospital resort town csd theater
Spendthrift,1945,Soffici,Miguel Marchiniendorena,Monogram,bnw,susp,H*,Boeing 707 airplane csd hotel hospital resort town csd theater am.park
Alfredo Alfredo,1973,Germi,Miguel Marchiniendorena,Monogram,bnw,,H*,Sicily island
School for Scoundrels,1960,Hamer,Dennis VanThal,MGM,bnw,dram,H*,Paris city
General della Rovere,1959,Rossellini,Rosselini,Minerva,bnw,dram,,Genoa city
The Jungle,1952,Berke,Berke,Lippert,bnw,s.f.,,S.F. city
Song of Scheherazade,1945,Reisch,Reisch,Universal,bnw,romt,,S.F. city
Du Rififi chez les Femmes,1959,A.Joffe,Reisch,Universal,bnw,romt,,S.F. city
Mourning Becomes Electra,1947,D.Nichols,D.Nichols,Universal,bnw,dram,,S.F. city
The Idiot,1946,Lampin,D.Nichols,Universal,bnw,romt,,S.F. city
Deadline at Dawn,1946,Clurman,D.Nichols,Universal,bnw,cnr,,NYC city
God of Creation,1946,Moon,Moody Bible Institute of Science,Universal,bnw,s.f.,,NYC city
The Eagle Has Landed,1977,J.Sturges,deLaurentiis,malpaso,col,west,,NYC city ship town jail
Sleuth,1972,J.L.Mankiewicz,Morton Gottlieb,Palomar,col,susp,H**,Rome city
The New Adventures of Pippi Longstocking,1988,Annakin,Moshy,Svenska Filmindustri,col,advt,,Channel city
The Woman of Rome,1954,Zampa,Moshy,Svenska Filmindustri,col,advt,,Channel city
Nightmare,1956,Shane,Moshy,Svenska Filmindustri,bnw,susp,,New Orleans city jail
Hammersmith is Out,1972,Ustinov,Carlo Ponti,MGM,ecol,romt,,Paris city
La morte non conta i dollari,1967,Freda,Carlo Ponti,MGM,ecol,romt,,Florence city
Red Sonja,1985,R.Fleischer,Pierre Spengler,Warners,col,dram,,Detroit city
Once More My Darling,1946,Montgomery,Joan Harrison,Universal,bnw,romt,,Detroit city
Love Laughs at Andy Hardy,1946,Goldbeck,Joan Harrison,MGM,bnw,,,Detroit city
Catherine of Russia,,W.Staudte,Joan Harrison,DEFA,col,,,Detroit city public
Dual Alibi,1947,Travers,Louis H. Jackson,British National,bnw,dram,,Detroit city public am.park
Cheap is Cheap,1959,Windust,J.Harrison,Shamley,tv,susp,H***,Detroit city public am.park town casino hotel estate
Bury Me Dead,1947,Vorhaus,J.Harrison,Shamley,tv,horr,,Detroit city public am.park town casino hotel estate
Mr. Imperium,1951,Hartman,Edwin H. Knopf,MGM,tcol,musc,,Detroit city public am.park town casino hotel estate movies
Scudda-Ho Scudda-Hay,1947,Herbert,Walter Morosco,fox,tcol,,,Detroit city public am.park town casino hotel estate movies boat
The Senator was Indiscreet,1947,G.S.Kaufman,Nunally~J.,fox,tcol,,,Detroit city public am.park town casino hotel estate movies boat
Black Beauty,1971,J.Hill,Bertram Ostrer,Omnis,mcol,advt,,Atlantis ship csd csd
Angel and the Badman,1947,J.E.Grant,John Wayne,Republic,mcol,advt,,Atlantis ship csd csd
Stepping Out,1991,L.Gilbert,Cubby,U.A.,tcol,,,Buffalo city
55 Days at Peking,1961,N.Ray,Samuel Bronston,MGM,prc,dram,H*,NYC city bar
First Monday in October,1981,Neame,Martha Scott,Paramount,mcol,,,Washington city
They Came to Cordura,1980,Rossen,Rossen,Columbia,bnw,dram,H*,L.A. city island gambling hospital
Rome 11 O\'Clock,1952,DeSantis,DeLaurentiis,Lux,bnw,dram,H*,L.A. city island gambling hospital
Dirty Money,1972,Melville,Melville,Lux,bnw,susp,H*,Pigalle am.park
Frankenstein and the Monster from Hell,1973,Fisher,Roy Skeggs,Hammer,col,horr,H*,Karpathian mountains
Combat America,1947,UnYear47,Roy Skeggs,Hammer,col,horr,H*,Karpathian mountains
Something Got to Give,1962,Unknown4,Roy Skeggs,Fox,col,horr,H*,Karpathian mountains
Tell Them Willie Boy is Here,1969,Polonsky,Philip A. Waxman,Universal,tcol,west,H***,Karpathian mountains
Easy Money,1948,Knowles,A.Frank Bundy,GFD Gainsborough,bnw,dram,,Karpathian mountains
The Shaggy Dog,1959,Barton,Bill~Walsh,Disney,bnw,advt,H*,Karpathian mountains hotel csd mountains
Tread Softly; Stranger,1958,Parry,Graham Baker,RKO,bnw,dram,,Rugby school
Law and Disorder,1958,Cornelius,Jack Clayton,Romulus,bnw,biop,,Pimlico town roads roads
The Velvet Touch,1948,Gage,Frederick Brisson,RKO,bnw,cnr,H*,Pimlico town roads roads movies
Steel,1980,Losey,Lee Majors,Columbia,movielab,dram,,Baden Baden town
L\'Ecole Buissoni\`ere,1948,LeChanois,Lee Majors,CGCF,bnw,,H*,Baden Baden town town
Soledad,1966,Audry,Claude Dolbert,Codo Cinema,bnw,romt,H*,Paris city
Jungle Goddess,1948,L.Collins,William Stephens,Lippert,bnw,,H*,Paris city
Tonka,1958,L.R.Foster,William Stephens,Paramount,tcol,dram,,Hong Kong city
It\\'s not the Size That Counts,1975,R.Thomas,B.Box,Joseph Brenner,col,,,Channel Islands island law
The 300 Spartans,1962,Mate,George StGeorge,Fox,cs,dram,H*,Blanning town school
No Orchids for Miss Blandish,1948,Clowes,Oswald Mitchell,Renown,bnw,actn,,Blanning town school
Bloodline,1967,T.Young,Sidney Beckerman,Paramount,movielab,susp,,Venice city city sea apartment
How to Stuff a Wild Bikini,1965,W.Asher,Samuel Z. Arkuff,AIP,col,musc,,L.A. public city resort resort resort resort
Docks of New Orleans,1948,Abrahams,Samuel Z. Arkuff,Monogram,col,,,L.A. public city resort resort resort resort
The Loves of Don Juan,1948,Falconi,Samuel Z. Arkuff,Monogram,col,dram,,L.A. public city resort resort resort resort
Anjuman,1948,xHussein,Samuel Z. Arkuff,Monogram,col,romt,,L.A. public city resort resort resort resort
Verdict,1974,Cayatte,Carlo Ponti,Concordia,ecol,dram,H*,Verona city palace
Le ballon rouge,1955,Lamorisse,Carlo Ponti,Concordia,col,romt,H*,Paris city
Figaro Qua; Figaro la,1950,C.Bragaglia,Carlo Ponti,Concordia,bnw,musc,H*,Paris city
Zombies of the Stratosphere,1952,Brannon,Franklin Adreon,Republic,bnw,s.f.,H*,NYC city space
The Incredible Journey,1963,F.Markle,The Danzigers,MGM,bnw,susp,H*,NYC city
La Faute de l\'Abb\\'e Mouret,1970,Franju,The Danzigers,MGM,prc,horr,H*,NYC city
The Cheyenne Social Club,1970,Gene~Kelly,Gene~Kelly,National General,tcol,west,AAN,Cheyenne town
Tammy and the Doctor,1963,Keller,Ross Hunter,U-I,ecol,romt,,Cheyenne town
King Kong Lives,1986,Guillermin,deLaurentis,EMI,tcol,susp,H*,L.A. city
Fall of the House of Usher,1949,Barnett,deLaurentis,Valiant,bnw,horr,,L.A. city
God; Man; and Devil,1949,Seiden,deLaurentis,Valiant,bnw,horr,,L.A. city
Traffic,1971,Tati,Robert Dorfman,Corona,ecol,,,RAI work roads museum
Man in The Dark,1953,Landers,Sam Katzman,Columbia,prc,advt,,RAI work roads museum
Jungle Man-Eaters,1954,Sholem,Sam Katzman,Columbia,bnw,advt,,RAI work roads museum
Derniere heure; edition speciale,1949,deCanonge,Sam Katzman,Columbia,bnw,cnr,,RAI work roads museum
Big Red One,1972,Fuller,Gerald Corman,Bavaria,col,dram,,RAI work roads museum mil.inst.
Sammy Going South,1962,Mackendrick,Hal Mason,Bryanston,cs,dram,RFP,NYC city
Blame it on Rio,1984,Donen,Donen,Fox,col,,H*,Oxford town
Alice In Wonderland,1951,W.Jackson,Donen,Disney,tcol,,H*,Oxford town
Begegnung mit Werther,1949,Stroux,Donen,Disney,tcol,,H*,Oxford town
Crows and Sparrows,1949,Junil,Donen,Disney,tcol,,H*,Oxford town
Intervista,1992,Fellini,Buseo Mabos,MGM-U.A.,bnw,biop,,Cinecitta movies
Room to Let,1950,Grayson,Buseo Mabos,MGM-U.A.,bnw,susp,,Cinecitta movies
Appaches Last Battle,1964,Fregonese,Milton Sperling,Warners,bnw,west,H*,Cinecitta movies
Chained for Life,1950,Fraser,George Moscov,Classic,bnw,biop,,Cinecitta movies
Last Holiday,1950,Cass,J.B. Priestley,ABPC,bnw,romt,H*,Normandie csd
The Trouble With Angels,1966,Lupino,J.Harrison,Shamley,tv,susp,,Normandie csd sports home town
Babes in Toyland,1961,Donohue,Disney,Disney,tcol,,,Normandie csd sports home town
The Thief\\'s Journal,1955,Genet,Disney,Disney,bnw,,,Normandie csd sports home town
Allan Quatermain and the Lost City of Gold,1986,LeeThompson,Golan,Cannon,col,advt,,Normandie csd sports home town space school palace
Mysterious Island of Beautiful Women,1979,Pevney,Freeman,Shamley,bnw,advt,,NYC city csd movies ship
Par-dela les Nuages,1994,Antonioni,Ponti,CCC,mcol,dram,H*,Barcelona desert city work
Lost and Found,1979,Frank,Melvin Frank,Warners,tcol,,H*,NYC city
Murder by Phone,1982,M.Anderson,Luciano Vincenzoni,Dino deLaurentis,tcol,horr,,Rome city ship
Wrong is Right,1981,R.Brooks,R.Brooks,Columbia,col,actn,,Washington city city
Caroline Ch\\\'erie,1950,Pottier,R.Brooks,Gaumont,col,,,Paris city
The Treasure of Monte Christo,1961,R.S.Baker,Monte Nerman,MidCentury,bnw,horr,,London city
The Eel,1998,Imamura,Monte Nerman,MidCentury,bnw,dram,Palm,Hiroshima city mil.inst. work
The Loves of Don Juan,1950,deHeredia,Monte Nerman,MidCentury,bnw,romt,Palm,Hiroshima city mil.inst. work
Hollywood Bound,1950,UnYear50,Monte Nerman,MidCentury,bnw,dram,Palm,Hiroshima city mil.inst. work
Providence,1976,Resnais,Raymond Froment,Hen\\'s Tooth,bnw,noir,,Paris city
Seven Capital Sins,1951,Rim,Raymond Froment,Hen\\'s Tooth,bnw,susp,,Paris city
Love-Slaves of the Amazon,1957,C.Siodmak,C.Siodmak,Universal,col,horr,,Paris city csd
De Sade,1961,Endfield,Charles Schneer,Columbia,col,dram,H*,Paris city csd island
Crazy,1985,D.Weis,Don Nelson,Universal,tv,,,Manhattan city resort
The Three Stooges in Orbit,1962,Bernds,Maurer,Columbia,bnw,,,Ithaca town space
Murder in the Cathedral,1951,Hoellering,Hoellering,Columbia,bnw,dram,,Canterbury Cathedral public
Bitter Bread,1951,Grigoriou,Hoellering,Columbia,bnw,dram,,Canterbury Cathedral public
The Girl on the Bridge,1951,H.Haas,H.Haas,Fox,bnw,dram,,Canterbury Cathedral public
Lassie,1992,Kress,H.Haas,Paramount,col,dram,,Canterbury Cathedral public csd
Wolf Larsen,1958,H.Jones,Lindsey Parsons,AA,bnw,dram,,Canterbury Cathedral public csd
Alice In Wonderland,1951,Bunin,Bunin,Rank,acol,,,Canterbury Cathedral public csd
Five Golden Hours,1961,Zampi,Zampi,ABPC,col,romt,,Canterbury Cathedral public csd
Ballad in Blue,1965,Henreid,Herman Blaser,Warners,bnw,dram,,NYC city
Der Verlone,1951,Lorre,Pressburger,Warners,bnw,dram,,Hamburg city
Une Histoire d\'Amour,1951,Clavel,Jaques Roitfeld,Cite Fils,bnw,dram,H*,Hamburg city
A Town Called Hell,1971,Parrish,Howard Welsch,Warners,bnw,dram,H*,S.F. city
The Prisoner of Zenda,1979,Quine,Walter Mirisch,Universal,tcol,,,Paris city hospital
Gentlemen Prefer Brunettes,1955,Sale,Sale,Fox,cs,,,Paris city
Michelangelo,1989,Snyder,Sale,Fox,cs,docu,AA,Paris city
Star 80,1983,Fosse,Kenneth Utt,Warners,tcol,biop,,Berlin city bar
A Day in the Life of Andrei Arsenevich,2001,Marker,Kenneth Utt,Warners,tcol,biop,,Berlin city bar train movies
First to Fight,1967,Nyby,Conrad,Warners,tcol,hist,,Berlin city bar train movies sea mil.inst.
Matilda,1978,Dan.Mann,Albert S. Ruddy,AIP,movielab,,,Istanbul city
Sissi - Schicksalsjahre einer Kaiserin,1957,Marischka,Albert S. Ruddy,AIP,movielab,romt,,Bavaria csd csd
Johann Mouse,1952,Quimby,Quimby,MGM,tcol,,H***,Vienna city
The Glass Bottom Boat,1966,Tashlin,Martin Melcher,MGM,mcol,,,Vienna city movies movies work ship
Tendres Cousines,1983,G.Hamilton,Richard Goodwin,EMI,tcol,,,Las Vegas city island island csd town
Hello; Elephant,1952,Franciolini,Richard Goodwin,EMI,tcol,,,Las Vegas city island island csd town
Children of Sanchez,1978,Bartlett,Bartlett,EMI,col,dram,,Casa Grande slum
The Wild Party,1956,Horner,Sidney Harmon,U.A.,bnw,actn,,L.A. city
Day of Reckoning,1962,J.Hopper,Hitchcock,Shamley,tv,susp,,L.A. city
Go Man; Go,1952,Howe,Hitchcock,Shamley,tv,susp,,L.A. city
Sextette,1978,K.Hughes,Warren G. Toub,Briggs and Sullivan,mcol,dram,H*,L.A. city csd
Small Town Girl,1952,Kardos,Pasternak,MGM,col,musc,H*,L.A. city csd
Welcome Mr.~Marshall,1952,Berlanga,Pasternak,MGM,col,docu,H*,L.A. city csd town
The Truth About Women,1957,Box,William McQuitty,GFD,tcol,romt,H*,L.A. city csd town resort
Siege of the Saxons,1962,Juran,Charles Schneer,Columbia,tcol,,,Arabian sea sea
The Mahabharata,1989,Brook,Michael Birkett,Columbia,bnw,dram,H*,Londoin city sea hospital csd
The Curse of King Tut\'s Tomb,1980,Ph.Leacock,Hitchcock,Shamley,tv,susp,H*,Londoin city sea hospital csd
Shadow in the Sky,1952,W.Wright,Fred Wilcox,MGM,bnw,dram,H*,Londoin city sea hospital csd
The Stranger Left No Card,1952,Toye,George K. Arthur,Briish Lion,bnw,susp,H**,Londoin city sea hospital csd town
Carmen Prohibida,1952,Scotese,George K. Arthur,Briish Lion,bnw,dram,H**,Londoin city sea hospital csd town
L\'Oevre au Noir,1988,Delvaux,Belgian Cul.Min.,Briish Lion,col,dram,H**,Bruges city
Five Boys from Barska,1953,A.Ford,Belgian Cul.Min.,Briish Lion,col,dram,H**,Bruges city
The Return of Verge Likens,1964,Laven,Hitchcock,Shamley,tv,susp,,Bruges city mil.inst. public
The Great Adventure,1953,Sucksdorff,Sucksdorff,Shamley,bnw,,H**,Bruges city mil.inst. public csd
Cat Women of the Moon,1953,Hilton,Al Zimbalist,Astor,prc,,H**,Bruges city mil.inst. public csd space
Intimate Relations,1953,Ch.Frank,Al Zimbalist,Astor,prc,dram,H**,Bruges city mil.inst. public csd space
The Hunters,1958,D.Powell,D.Powell,Fox,cs,susp,,Bruges city mil.inst. public csd space ship ship
Apres l\'Amour,1993,Kurys,Robert Benmussa,Alexandre,col,romt,AAN,Bruges city mil.inst. public csd space ship ship
The Sinister Urge,1961,E.D.Wood~jr,William J. Reynolds,Screen Classics,bnw,horr,,Bruges city mil.inst. public csd space ship ship
Gorgo,1961,Lourie,Wilfred Eades,MGM,col,s.f.,,London resort city
The Hindu,1953,Ferrin,Ferrin,U.A.,col,dram,,London resort city
I; The Jury,1953,Essex,V.Saville,Parklane,bnw,actn,,London resort city
Captain Scarlett,1953,Carr,Howard Dimsdale,U.A.,tcol,advt,,London resort city
The Mouse that Roared,1959,Arnold,Zugsmith,MGM,col,,,NYC palace city
The Spoilers,1955,Hibbs,Hunter,U-I,tcol,advt,H*,NYC palace city csd
The Golden Bowl,2001,Ivory,Merchant,Disney,col,dram,AAN,Paris city
Kuroneko,1967,Shindo,Merchant,Disney,bnw,dram,AAN,Paris city island
La Boheme,1988,Comencini,Merchant,Disney,col,musc,AAN,Paris city
The Whales of August,1987,L.Anderson,Michael Medwin,Warners,ecol,dram,H**,Paris city school
Iphigenia,1976,Cacoyannis,Michael Medwin,Warners,bnw,dram,H**,Aulis resort
Beggone Dull Care,1953,McLaren,McLaren,National Film Board,col,,H****,Aulis resort home
The World of Henry Orient,1964,Nunally~J.,Nunally~J.,Fox,ecol,romt,,NYC csd city town
Love Me Tender,1956,R.D.Webb,David Weisbart,Foc,bnw,musc,,London island city
All the Marbles,1981,Aldrich,Aldrich,MGM,mcol,,,S.F. city
The Buster Keaton Story,1957,S.Sheldon,S.Sheldon,MGM,col,biop,,S.F. city
Eyes Wide Shut,1999,Kubrick,Kubrick,Warners,col,romt,H*,Vienna city
The Vampire Beast Craves Blood,1968,Sewell,Arnold L. Miller,Pacemaker,col,horr,H*,Vienna city town
Cairo,1963,Rilla,Ronald Kinnoch,MGM,bnw,dram,,Vienna city town town museum
Around the World Under the Sea,1966,Marton,Marton,MGM,mcol,s.f.,AAN,Cape Kennedy sea
The Horse Hair Ring,1992,Wajda,,Gaumont,col,romt,BFA,Warsaw city
Once is Not Enough,1975,Guy~Green,Koch,Paramount,col,dram,,Warsaw city movies
Right of Way,1984,Schaefer,Koch,Columbia,tv,dram,,Warsaw city movies
Gog,1954,Strock,Ivan Tors,U.A.,prc,s.f.,,Warsaw city movies
Andy Hardy Comes Home,1958,Koch,Aubrey Schenk,MGM,bnw,,,Warsaw city movies
The Fast and Furious,1954,J.Ireland,Corman,ARC,bnw,actn,,Pebble Beach sports
Fantasia 2000,1999,Algar,Corman,Disney,prc,,,Pebble Beach sports
The Golden Mistress,1954,J.Judge,Hary Ribnick,U.A.,bnw,advt,,Pebble Beach sports
Dragnet,1966,J.Webb,J.Webb,Warners,tv,cnr,H*,L.A. city
The Phoenix,1977,Ichikawa,Masuyuki Takagi,Nikkatsu,bnw,dram,H***,L.A. city csd
Thanatos Palace Hotel,1965,Benedek,Hitchcock,Shamley,tv,susp,H***,Hollister town
Dunkirk,1958,Norman,Tom Morahan,Ealing,bnw,dram,H*,Dunkirk town
Secret Agent,1980,Truman,Cole,Ealing,bnw,dram,H*,Dunkirk town
1922,1978,Koundouros,Cole,Ealing,bnw,hist,H*,Dunkirk town
Hotel Paradiso,1966,Glenville,Wallis,Paramount,col,romt,,Paris city
Le Fatiche di Ercole,1957,Francisci,Federico Teti,Kit Parker,ecol,actn,,Paris city
The Stranger,1992,S.Ray,R.D. Bansai,Epic,bnw,dram,Baer,Calcutta city
Gate of Hell,1954,Kinegusa,R.D. Bansai,Epic,col,romt,Baer,Kyoto city
Godzilla; King of the Monsters,1954,Tanaka,Terry Morse,Embassy,bnw,s.f.,Baer,Tokyo city
After the Curfew,1954,Ismael,Terry Morse,Embassy,bnw,s.f.,Baer,Tokyo city
Robot Monster,1954,Tucker,Terry Morse,Embassy,bnw,s.f.,Baer,Tokyo city
My Father\'s Glory,1982,Y.Robert,Y.Robert,Gaumont,ecol,romt,H*,Tokyo city
Raging Angels,,Alan~Smithee,Richard E. Lyons,Universal,col,tv,H*,Tokyo city
Too Bad She\'s Bad,1955,Blasetti,Richard E. Lyons,Universal,col,,H*,Tokyo city
Music; Poverty; and Pride,1955,Sakellarios,Richard E. Lyons,Universal,col,,H*,Tokyo city
Son of the Pink Panther,1993,B.Edwards,B.Edwards,U.A.,col,,,Chicago bar city
The Brain Eaters,1975,VeSota,B.Edwards,U.A.,col,horr,,Chicago bar city
The Night of the Hunter,1955,Laughton,Paul Gregory,U.A.,bnw,horr,H**,Chicago bar city town
Nelly and Monsieur Arnaud,1996,Sautet,Paul Gregory,U.A.,col,romt,,Chicago bar city town
Shark\'s Treasure,1975,C.Wilde,C.Wilde,U.A.,tcol,dram,H*,Chicago bar city town sea
Jungle Moon Men,1955,Gould,Sam Katzman,Columbia,bnw,advt,H*,Chicago bar city town sea
Separate Tables,1983,Del.Mann,Harold Hecht,U.A.,tcol,dram,H**,Asbury Park city resort town hotel
The Organization,1971,Medford,Walter Mirrisch,U.A.,deluxe,advt,,S.F. city
The Rebel Set,1959,Fowler,Herman Cohen,Allied Artists,#NAME?,horr,,S.F. city
Antigone,1961,Tzavellas,Herman Cohen,Allied Artists,#NAME?,dram,,Thebes city
The Invisible Boy,1957,H.Hoffman,Nicholas Nyfack,MGM,col,s.f.,,Bowery city
Lady and the Tramp,1955,Luske,Erdmann Penner,Disney,cs,,H**,Bowery city
Des Gens sans Importance,1955,Verneuil,Erdmann Penner,Disney,cs,,H**,Lisbon city public
Drei von der Tankstelle,1955,Wolff,Erdmann Penner,Disney,cs,romt,H**,Lisbon city public public
The Swarm,1978,I.Allen,I.Allen,Fox,col,advt,,Lisbon city public public afterlife ship airplane
Dementia,1955,J.Parker,J.Parker,API,bnw,,,Lisbon city public public afterlife ship airplane city
Something Wicked This Way Comes,1983,Clayton,Peter Vincent Douglas,Disney,tcol,,,Long Island town am.park
The Indestructible Mr.~Weems,1957,Addis,Hitchcock,Shamley,tv,susp,,Long Island town am.park train town
A New Kind of Love,1963,Shavelson,Shavelson,Paramount,tcol,,,Paris city
Coffee; Tea; or Me?,1973,Panama,Panama,Paramount,tv,,H***,Paris city palace
Como era Gostoso o Meu Frances,1971,dosSantos,Panama,Paramount,tv,dram,H***,Rio de Janeiro city csd csd
Blindfold,1966,Ph.Dunne,Jerry Wald,Fox,deluxe,musc,,Rio de Janeiro city csd csd
Metroland,1999,P.Saville,Jerry Wald,Fox,col,dram,,Metroland town
Gosford Park,2002,Altman,Etchie Stroh,Sandcastle,col,susp,AA,Holly Springs mansion
It Came from beneath the Sea,1955,Rbt.Gordon,Charles H. Schneer,Columbia,bnw,s.f.,AA,S.F. city
Watchers II,1987,Corman,Corman,U.A.,col,horr,H**,London city estate hospital csd csd airplane
Subarnarekha,1965,Ghatak,Corman,U.A.,col,horr,H**,London city estate hospital csd csd airplane
A Man Alone,1955,Milland,Corman,Republic,prc,west,,London city estate hospital csd csd airplane desert
The Monkey\\'s Paw; A Retelling,1965,R.Stevens,Hitchcock,Shamley,tv,susp,,S.F. city bar store csd
The Runner Stumbles,1979,St.Kramer,St.Kramer,Associated General,col,susp,,Nurnberg city sea estate
Hatsui Jigokuhen,1968,Hani,St.Kramer,Iwapami,bnw,docu,,Shinjuku town
The Greatest,1980,Gries,Jerry Gershwin,U.A.,deluxe,biop,H*,Shinjuku town sports
The Benny Goodman Story,1955,V.Davies,Aaron Rosenberg,U-I,tcol,biop,H*,Chicago city
John and Julie,1955,Fairchild,Herbert Mason,Group Three,ecol,,,London city
The Price of Fear,1956,A.Biberman,Herbert Mason,Group Three,ecol,,,London city
I Bury the Living,1957,Band,Herbert Mason,Group Three,ecol,horr,,London city
The Sea Wolves,1980,McLaglen,Euan Lloyd,Lorimar,ecol,advt,H*,London city csd csd work csd
A Christmas Carol,1982,C.Donner,Jerry Sherlock,U.A.,tv,advt,,Paris city palace
The Delicate Delinquent,1957,McGuire,Jerry Sherlock,U.A.,tv,,,Paris city palace
The Rose Garden,1956,F.Cockrell,Hitchcock,Shamley,tv,susp,,Paris city palace estate
A Love Affair: The Eleanor and Lou Gehrig Story,1980,F.Cook,Michael Myerberg,U.A.,tv,biop,H***,Manhattan city
The Violent Years,1956,Eichorn,A.O. Bayer,Headliner,bnw,18+,H***,Manhattan city
Great Locomotive Chase,1956,Lyon,Lawrence Edward Watkin,Disney,cs,advt,H*,Manhattan city
Unknown,1999,Pollock,Ray~Stark,Universal,tcol,west,H*,Manhattan city
Agent for H.A.R.M.,1966,G.Oswald,Ray~Stark,Universal,tcol,west,H*,Manhattan city
Nothing Ever Happens in Linvale,1963,Daugherty,Hitchcock,Shamley,tv,susp,H*,Salem town
title,1956,Cornfield,Cornfield,Universal,tcol,susp,H*,Salem town
Malice Domestic,1957,J.M.Lucas,Hitchcock,Shamley,tv,susp,H*,S.F. town city
The Shop on Main Street,1964,Kadar,Hitchcock,Barranov,bnw,susp,,S.F. town city store
Tomorrow,1972,Anthony,Paul Roebling,bnw,prc,dram,,S.F. town city store town
Summer Magic,1963,Neilson,Ron Miller,Disney,tcol,romt,H*,Boston city
Divertimento,1993,Rivette,Ron Miller,Disney,tcol,dram,H*,Paris city theater home estate estate
Touch\\'e,1959,Bricken,Hitchcock,Shamley,bnw,susp,H*,Paris city theater home estate estate town home
Vanya on 42nd Street,1994,Malle,Simon Relph,NewLine,col,dram,AAN,NYC city
Tales of Ordinary Madness,1981,Ferreri,Simon Relph,NewLine,col,18+,AAN,NYC city
Iris and Stanley,1989,Ritt,Streisand,MGM,duart,romt,H*,NYC city
Jungle Hell,1956,Cerf,Cerf,MGM,bnw,s.f.,H*,NYC city
If Things Were Different,1980,R.Lewis,Robert Emmett Dolan,Paramount,tcol,musc,H*,NYC city theater ship theater
Don Juan,1973,Vadim,Gene Roddenberry,MGM,col,romt,,Paris city space
Diary of a Teenage Hitchhiker,1979,Post,Dennis F. Stevens,Cinema Arts,col,actn,,Paris city space
