title,rel_year,dir_name,prod_name,studio_name,prc,cat,award,location,movie_id
Flash Gordon,1936,Stephani,Henry MacRae,Univeral,bnw,s.f.,,,FkS10
Isle of Fury,1936,F.McDonald,,Warners,col,advt,,,FMD3
Scared Stiff,1945,,Wallis,Paramount,,comd,,,FMD10
Along the Navajo Trail,1946,,,Republic,bnw,west,,,FMD20
Bored of Education,1936,G.Douglas,H.Roach,,bnw,comd,AA,,GDo2
Broadway Limited,1941,,H.Roach,,bnw,comd,H,,GDo4
If You Knew Susie,1948,,Eddie Cantor,RKO,bnw,musc,H,,GDo18
Rogues of Sherwood Forest,1950,,Fred M. Packard,Columbia,tcol,advt,H,,GDo23
The Charge at Feather River,1953,,,Warners,3d,west,,,GDo32
Them!,1954,,David Weisbart,Warners,bnw,s.f.,H,,GDo37
The McConnell Story,1955,,Henry Blanke,Warners,cs,biop,H,,GDo39
Bombers B-52,1958,,Richard Whorf,Warners,cs,actn,H,,GDo49
The Fiend Who Walked the West,1958,,Herbert B. Swope jr.,Fox,cs,west,H,,GDo50
Harlow,1965,,Levine,Paramount,tcol,biop,H,,GDo71
Stagecoach,1966,,Martin Rackin,Fox,cs,west,H,,GDo74
In Like Flint,1967,,Saul David,Fox,col,advt,,Washington,GDo76
Tony Rome,1967,,,,,cnr,,,GDo78
The Detective,1968,,Aaron Rosenberg,Arcola,deluxe,actn,H,NYC,GDo79
Lady in Cement,1968,,,,,cnr,,,GDo81
They Call Me Mr. Tibbs,1970,,Herbert Hirshman,U.A.,deluxe,dram,H,S.F.,GDo83
Viva Knievel,1977,,,Warners,tcol,actn,H,,GDo92
Dear Octopus,1943,French,,,,,,,HaF16
English Without Tears,1943,,,,,,,,HaF20
Mr. Emanuel,1944,,William Sistrom,Two Cities ,bnw,,,,HaF23
Quiet Weekend,1946,,Warwick Ward,Associated,bnw,,H,,HaF29
My Brother Jonathan,1947,,,,,,,,HaF31
The Man Who Watched Trains Go By,1952,,Raymond Stross,,tcol,susp,H,,HaF35
Rob Roy the Highland Rogue,1953,,Disney,,tcol,,H,,HaF37
The Man Who Loved Redheads,1955,,,,,,,,HaF40
Beloved Enemy,1936,H.Potter,George Haight,Goldwyn,bnw,romt,H,,HCP1
The Shopworn Angel,1938,,J.Mankiewicz,MGM,bnw,romt,H,NYC,HCP4
Congo Maisie,1938,,Ruben,MGM,bnw,advt,,,HCP5
The Story of Vernon and Irene Castle,1939,,Berman,RKO,bnw,musc,H,,HCP6
Helzapoppin,1942,,Alex Gottlieb,Mayfair,bnw,comd,H,,HCP10
Victory through Air Power,1943,,Disney,Disney,tcol,cart,H,,HCP11
Mr. Lucky,1943,,David Hempstead,RKO,bnw,comd,H,,HCP12
The Farmer's Daughter,1947,,Schary,Selznick,,,H,,HCP22
Mr. Baldings Builds His Dream House,1948,,Frank,RKO,bnw,comd,H,,HCP24
The Accused,1949,,,,,dram,,,HCP25
Cause for Alarm,1951,,,,,dram,,,HCP26
Three for the Show,1955,,Jonie Taps,Columbia,cs,romt,H,,HCP28
His Lordship,1936,Mason,,,,,,,HeM10
Strange Boarders,1938,,Edward Black,GFD,bnw,susp,H,,HeM20
Back Room Boy,1941,,Edward Black,Gainsborough,bnw,comd,H,,HeM30
Flight from Folly,1945,,,,,,,,HeM40
Three Smart Girls,1936,Koster,,,,romt,,,HKo6
One Hundred Men and a Girl,1937,,,,,,,,HKo7
Three Smart Girls Grow Up,1939,,,,,romt,,,HKo9
First Love,1939,,Joe Pasternak,Universal,bnw,romt,H,,HKo10
Spring Parade,1940,,Joe Pasternak,Universal,bnw,,H,,HKo12
It Started with Eve,1941,,Joe Pasternak,Universal,bnw,,H,,HKo13
Luck of the Irish,1947,,Kohlmar,Fox,bnw,horr,H,,HKo17
The Bishop's Wife,1948,,S.Goldwyn,,,romt,RFP,,HKo18
The Inspector General,1949,,Jerry Wald,Warners,tcol,comd,H,,HKo21
Wabash Avenue,1950,,Perlberg,Fox,tcol,musc,H,,HKo22
My Blue Heaven,1950,,S.C.Siegel,Fox,tcol,musc,H,,HKo23
Dear Brigitte,1950,,,,deluxe,comd,,Sausalito,HKo25
Harvey,1950,,John Beck,U-I,bnw,comd,H,,HKo24
No Highway in the Sky,1951,,Louis D. Lighton,Fox,bnw,disa,,,HKo26
The Robe,1953,,F.Ross,Fox,cs,epic,H,,HKo29
Desiree,1954,,Julian Blaustein,Fox,cs,biop,H,,HKo30
My Man Godfrey,1957,,R.Hunter,Universal,cs,comd,,,HKo36
The Naked Maja,1959,,Goffredo Lombardo,MGM,tr,biop,H,,HKo39
Flower Drum Song,1960,,R.Hunter,UI,tcol,musc,H,Chinatown,HKo41
Mr. Hobbs Takes a Vacation,1962,,Jerry Wald,Fox,cs,comd,H,,HKo43
Night Mail,1936,Watt,,,,,,,HWa1
Nine Men,1936,,,,,,,,HWa5
Where No Vultures Fly,1951,,Leslie Norman,Ealing,tcol,,RFP,,HWa9
West of Zanzibar,1953,,,,,,,,HWa10
We're Only Human,1936,Flood,,,bnw,,H,,JFll
Dracula's Daughter,1936,Hillyer,E.M. Asher,Universal,bnw,horr,,,LaH10
The Vampire's Ghost,1946,Selander,Rudy Abel,Republic,bnw,horr,,,LeS80
Belle Starr's Daughter,1948,,,,,west,,,LeS90
Sky Dragon,1949,,,Monogram,,comd,,,LeS100
Fort Algiers,1953,,,U.A.,bnw,west,,,LeS110
Drole de Drames,1937,Carne,,,bnw,dram,,,MC2
Quai des Brumes,1938,,Rabinovitch,,bnw,dram,,,MC3
Hotel du Nord,1938,,,,,,,,MC4
Le Jour se Leve,1939,,,Sigma,bnw,dram,H,,MC5
Les Visiteur du Soir,1942,,,,bnw,fant,H,,MC6
Les Enfants du Paradis,1944,,Fred Orain,Pathe,bnw,epic,H,Paris,MC7
Les Portes de la Nuit,1946,,,,,dram,,,MC8
La Marie du Port,1950,,Sacha Gordine,,,comd,,Cherbourg,MC9
Therese Raquin,1953,,,Paris,,noir,,Lyon,MC11
Terrain Vague,1960,,,,,,,,MC15
I Cover Chinatown,1936,N.Foster,,,,myst ,,,NF1
Think Fast; Mr. Moto,1937,,Wurtzel,Fox,bnw,myst,,Shanghai,NF3
Thank You; Mr. Moto,1937,,Wurtzel,Fox,bnw,myst,,,NF4
Mr. Moto Takes a Chance,1938,,Wurtzel,Fox,bnw,myst,,,NF6
Mysterious Mr. Moto,1938,,Wurtzel,Fox,bnw,myst,,London,NF7
Charlie Chan in Reno,1939,,,Fox,bnw,comd,,,NF9
Mr. Moto's Last Warning,1939,,Wurtzel,Fox,bnw,myst,,Suez Canal,NF10
Mr. Moto Takes a Vacation,1939,,,Fox,bnw,myst,,S.F.,NF12
Charlie Chan at Treasure Island,1939,,,Fox,bnw,comd,,S.F.,NF13
Charlie Chan in Panama,1940,,,Fox,bnw,comd,,,NF14
Journey into Fear,1942,,Welles,RKO-Mercury,bnw,dram,H,Istanbul,NF16
Davy Crockett,1955,,,Disney,tcol,advt,H,,NF21
Davy Crockett and the River Pirates,1958,,,Disney,,advt,,,NF25
The Sign of Zorro,1960,,,,bnw,dram,,,NF27
Indian Paint,1965,,,Tejas,col,west,,,NF29
The Return of Mr. Moto,1965,,,Fox,,myst,,,NF30
Kreuzer Sonata,1936,Harlan,,,,,,,VtH5
Jew Suss,1940,,,Tarra,bnw,dram,H,,VtH10
Der Grosse Konig,1941,,,,,,,,VtH15
Opfergang,1943,,,,,,,,VtH20
Kolberg,1943,,,,bnw,dram,,,VtH23
Die Baue Stunde,1951,,,,,,,,VtH25
The Third Sex,1957,,,,,,,,VtH30
Man Hunt,1936,Clemens,,,,,,,WCl1
Here Comes Carter,1936,,,,,,,,WCl5
Accidents Will Happen,1938,,,,,,,,WCl12
Nancy Drew Detective,1938,,,,,myst ,,,WCl14
Nancy Drew Reporter,1939,,,,,myst ,,,WCl15
Nancy Drew Trouble Shooter,1939,,,,,myst ,,,WCl16
Nancy Drew and the Hidden Staircase,1939,,,,,myst ,,,WCl17
The Dead End Kids on Dress Parade,1940,,,,,myst ,,,WCl18
Calling Philo Vance,1938,,,Warners,bnw,myst,H,,WCl19
Devil's Island,1940,,,,,,,,WCl21
She Couldn't say No,1941,,,,,,,,WCl22
The Falcon in Danger,1943,,,,,myst ,,,WCl28
The Falcon and The Co-Eds,1943,,,,,myst ,,,WCl29
The Falcon Out West,1944,,,,,myst ,,,WCl30
Crime By Night,1944,,,,,myst ,,,WCl31
Burgtheater,1936,Forst,,,,,,Vienna,WFo10
Bel Ami,1939,,,,,,,,WFo15
Bunker Bean,1936,W.Hamilton,,RKO,bnw,comd,,,WlH10
Charlie Chan's Secret,1936,Wiles,,Fox,bnw,comd,,,xWi1
Keep Fit,1937,Kimmins,,,,comd,,,AKi1
It's in the Air,1938,,,,,comd,,,AKi7
Mine Own Executioner,1947,,Kimmins,,,,,,AKi20
Mr. Denning Drives North,1951,,,,,comd,,,AKi25
The Captain's Paradise,1953,,Kimmins,,,comd,,,AKi30
The Amorous Prawn,1962,,Kimmins,,,comd,,,AKi40
L'Espoir,1937,A.Malraux,A.Malraux,,,,,,AMx1
Sierra de Teruel,1938,,,Continentale Cinematographique,bnw,docu,,,AMx5
Lancer Spy,1937,Ratoff,,Fox,bnw,advt,H,,GrR1
Intermezzo,1939,,Selznick,Selznick,bnw,romt,H,,GrR3
Barricade,1939,,Edward Kaufman,Fox,bnw,advt,H,,GrR4
Daytime Wife,1939,,,Fox,bnw,comd,H,,GrR5
Rose of Washington Square,1939,,Nunally J.,Fox,bnw,musc,H,NYC,GrR6
Wife; Husband and Friend,1939,,,Fox,bnw,musc,H,NYC,GrR7
I was an Adventuress,1940,,Zanuck,fox,bnw,comd,H,,GrR10
Adam Had Four Sons,1941,,,Columbia,,romt,,,GrR12
Irish Eyes are Smiling,1944,,Damon Runyon,Fox,tcol,musc,H,,GrR15
Black Magic,1957,,,,,,,,GrR22
Abdullah the Great,1957,,,,,,,,GrR30
Oscar Wilde,1960,,,,,,,,GrR32
Pastor Hall,1939,J.Boulting,,,,,,,IBt4
Thunder Rock,1942,,,,,,,,IBt5
Journey Together,1945,,,,,,,,IBt8
Fame is the Spur,1946,,,,,,,,IBt9
Brighton Rock,1946,,,,,,,,IBt10
The Guinea Pig,1949,,,,,,,,IBt11
Seven Days to Noon,1950,,,,,,,,IBt12
Private's Progress,1954,,,,,,,,IBt18
Brother's in Law,1956,,,,,,,,IBt19
Happy is the Bride,1957,,Paul Soskin,British Lion,bnw,comd,H,,IBt20
Lucky Jim,1957,,,,,,,,IBt21
I'm Allright Jack,1959,,R.Boulting,British Lion,bnw,comd,H,,IBt24
Heavens Above,1963,,,,,,,,IBt27
Endless Night,1971,,,,,,,,IBt33
Soft Beds; Hard Battles,1973,,J.Boulting,Rank,col,comd,H,,IBt38
Broadway Musketeers,1938,Farrow,Brian Foy,Warners,bnw,romt,,NYC,IFa8
Five Came Back,1939,,,,,,,,IFa10
Married and in Love,1940,,,,,,,,IFa13
A Bill of Divorcement,1940,,,RKO,bnw,,H,,IFa14
China,1943,,Richard Blumenthal,Paramount,bnw,actn,H,,IFa17
The Hitler Gang,1944,,B.G. deSylva,Paramount,bnw,biop,H,,IFa18
Calcutta,1947,,Seton E. Miller,Paramount,bnw,actn,H,Calcutta,IFa24
The Big Clock,1948,,Farrow,Paramount,bnw,susp,H,,IFa25
Alias Nick Beal,1949,,Endre Boehm,Paramount,bnw,dram,H,,IFa28
His Kind of Woman,1951,,Robert Sparks,RKO,bnw,dram,H,,IFa32
Hondo,1954,,Wayne-Fellows,Batjac,wcol,west,H,,IFa34
Plunder of the Sun,1954,,,,,,,,IFa35
Back from Eternity,1956,,,,,,,,IFa39
The Unholy Wife,1957,,Farrow,RKO,tcol,dram,H,,IFa45
John Paul Jones,1959,,,,col,dram,,,IFa50
The Last Train from Madrid,1937,J.Hogan,George M. Arthur,Paramount,bnw,dram,H,,JPH1
Ebb Tide,1938,,Lucien Hubbard,Paramount,tcol,,H,,JPH2
The Farmer's Daughter,1940,,William C. Thomas,Paramount,bnw,comd,H,,JPH10
Snow White and the Seven Dwarfs,1937,Hand,Disney,Disney,tcol,fant,H,,DvH10
Mantrap,1943,G.Sherman,G.Sherman,Republic,bnw,myst,H,,GeS15
The Lady and the Monster,1943,,G.Sherman,Republic,bnw,s.f.,,,GeS17
The Bandit of Sherwood Forest,1946,,,,bnw,,,,GeS25
Johnny Comes Flying Home,1946,,,Republic,bnw,dram,H,,GeS27
Last of the Redmen,1947,,Sam Katzman,Columbia,vst,dram,H,,GeS29
Son of Robin Hood,1958,,,,bnw,,,,GeS50
Abus de Confiance,1937,Decoin,,,,,,,HDc1
Battement de Coeur,1940,,,Cine Alliance ,bnw,romt,H,Paris,HDc6
Les Iconnus dans la Maison,1942,,,,,,,,HDc10
La Fille du Diable,1946,,,,,,,,HDc20
Three Telegrams,1950,,,,,,,,HDc30
The Truth About Bebe Donge,1952,,,,,,,,HDc35
The Lovers of Toledo,1953,,,,,,,,HDc40
Razzia sur la Chnouf,1955,,,Gaumont,bnw,cnr,,Paris,HDc50
Charmants Garcons,1957,,,,,,,,HDc56
The Face of the Cat,1958,,,,,,,,HDc60
Outcasts of Glory,1964,,,,,,,,HDc70
Le Puritain,1938,Musso,,,bnw,dram,Delluc,,JMu3
The Spy in Black,1938,M.Powell,,,,myst,,,MP2
The Thief of Baghdad,1940,,A.Korda,London,tcol,fant,H,Bagdad,MP4
49th Parallel,1941,,Powell,GFD,bnw,susp,H,,MP6
One of our Aircraft is Missing,1942,,,,,,,,MP7
The Life and Death of Colonel Blimp,1943,,Pressburger,GFD,tcol,dram,H,,MP8
The Volunteer,1943,,,,,,,,MP9
I Know Where I Am Going,1945,,Pressburger,,,romt,,Hebrides,MP11
A Matter of Life and Death,1946,,Emeric Pressburger,GFD,tcol,,RFP,,MP12
Black Narcissus,1946,,Pressburger,,tcol,,H,,MP13
The Red Shoes,1946,,Pressburger,GFD,tcol,musc,AAN,,MP15
Gone to Earth,1950,,Selznick,London,tcol,romt,H,Shropshire,MP17
The Elusive Pimpernel,1951,,M.Powell,London,tcol,,,,MP18
The Tales of Hoffman,1951,,Pressburger,Brtiish Lion,col,musc,Baer,,MP19
The Wild Heart,1952,,Selznick,RKO,,,,,MP20
Oh Rosalinda!!,1955,,Emeric Pressburger,,tcol,musc,,Vienna,MP25
The Battle of the River Plate,1956,,Emeric Pressburger,Rank,vst,,RFP,,MP31
Peeping Tom,1960,,M.Powell,AngloAmalgamated,ecol,susp,H,,MP35
The Age of Consent,1969,,,,,,,,MP47
River of Unrest,1937,N.Nosseck,Maurice King,Monogram,bnw,susp,H,,NNo1
Best Friends,1975,,,,col,,,,NNo2
Las Vegas Lady,1976,,,Prism,col,dram,,,NNo3
Youngblood,1978,,,Aion,col,actn,,,NNo4
Dreamer,1979,,,,col,,,,NNo5
King of the Mountain,1981,,,Polygram,col,actn,,,NNo7
Night Partners,1983,,,,tv,actn,,,NNo8
Roman Holiday,1987,,,,tv,romt,VIP,,NNo11
Full Exposure: The Sex Tape Scandal,1989,,,Worldvision,tv,18+,,,NNo13
A Mother's Justice,1991,,,,tv,dram,,,NNo16
Virginity,1937,Vavra,,,,,,,OtV10
Ave Maria,1954,Hansen,,Neue Ufer,,dram,,,RfH10
A Girl with Ideas,1937,S.Simon,,,bnw,,,,SSS15
Four Girls in White,1939,,,,bnw,,,,SSS20
Whistling in the Dark,1941,,,,bnw,,,,SSS25
Rio Rita,1942,,Berman,MGM,bnw,musc,H,,SSS45
Song of the Open Road,1944,,,,bnw,,,,SSS50
Son of Lassie,1945,,,MGM,bnw,,,,SSS55
Abbott and Costello in Hollywood,1945,,Martin Gosch,MGM,bnw,comd,H,,SSS58
Her Husband's Affairs,1947,,,,,,,,SSS62
I Love Trouble,1948,,,,,,,,SSS65
The Lust for Gold,1949,,,,,,,,SSS70
The Lone Ranger,1938,Witney,,Republic,bnw,west,H,,WWn10
Under Western Stars,1938,,,Republic,bnw,west,,,WWn12
The Lone Ranger Rides Again,1939,,,Republic,bnw,west,H,,WWn30
The Drums of Fu Manchu,1940,,,Republic,bnw,advt,H,,WWn35
Jungle Girl,1940,,,Republic,bnw,advt,,,WWn40
The Perils of Nyoka,1942,,W.J. OSullivan,Republic,bnw,advt,,,WWn80
The Cowboy and the Senorita,1944,,,Republic,bnw,west,,,WWn100
Yellow Rose of Texas,1944,,,Republic,bnw,west,,,WWn101
The Last Musketeer,1952,,,,,actn,,,WWn170
The Cool and the Crazy,1958,,,,,dram,,,WWn200
Juvenile Jungle,1958,,Sidney Picker,Republic,bnw,cnr,,,WWn205
Master of the World,1961,,,,,dram,,,WWn220
The Republic Story,1991,,,Republic,col,docu,,L.A.,WWn300
Two Sisters,1938,Blake,,,,,,,BKB10
Symphonie Fantastique,1942,ChristianJaque,,,,,,,ChJ10
Carmen,1943,,,,,dram,,,ChJ12
Un Revenant,1946,,,,,,,,ChJ15
Boule de Suif,1945,,,,,,,,ChJ20
Bluebeard,1951,,,,,biop,,,ChJ25
Fanfan la Tulipe,1951,,,Filmsonor,bnw,advt,Baer,,ChJ30
Nana,1954,,,,,,,,ChJ35
Madame DuBarry,1954,,,,,dram,,,ChJ36
Tous les Gars du Monde,1955,,,,,,,,ChJ40
Babette goes to War,1959,,,,,,,,ChJ45
Madame Sans Gene,1961,,,,,,,,ChJ50
The Black Tulip,1963,,,,,,,,ChJ55
Secret Agents,1966,,,,,,,,ChJ60
The Saint Versus ...,1966,,,,,,,,ChJ65
Two Tickets to Mexico,1967,,,,,,,,ChJ70
Lady Hamilton,1967,,,,,hist,,,ChJ74
Vessel of Wrath,1938,Pommer,Pommer,Mayflower,bnw,comd,H,,EP1
Flash Gordon's Trip to Mars,1938,Beebe,Barney Sarecky,Univeral,bnw,s.f.,,,FoB30
Flash Gordon Conquers the Universe,1940,,Henry MacRae,Univeral,bnw,s.f.,,,FoB50
The Golden Idol,1954,,Beebe,Allied Artists,bnw,advt,,,FoB70
A Man to Remember,1938,Kanin,,,,,,,GaK1
Next Time I Marry,1938,,,,,,,,GaK2
The Great Man Votes,1938,,,,,,,,GaK3
Bachelor Mother,1939,,B.G. deSylva,RKO,bnw,comd,H,,GaK4
My Favorite Wife,1940,,Leo McCarey,RKO,bnw,,H,,GaK5
They Knew What They Wanted,1940,,,,bnw,dram,,Napa,GaK6
Tom; Dick and Harry,1941,,Robert Sisk,RKO,bnw,,H,,GaK7
Some Kind of a Nut,1970,,,,,,,,GaK10
Some Kind of Hero,1982,,Walter Mirisch,U.A.,mlab,dram,H,,GaK20
Mystery Plane,1939,Waggner,,,,,,,GWg13
The Wolf Man,1940,,Waggner,Universal,bnw,horr,H,,GWg16
The Climax,1944,,Waggner,Universal,tcol,horr,H,,GWg23
Frisco Sal,1945,,Waggner,,,,,S.F.,GWg24
Shady Lady,1945,,Waggner,,,,,,GWg25
Tangier,1946,,,,,,,,GWg26
Mr. Moto in Danger Island,1938,Leeds,John Stone,Fox,bnw,comd,,,HIL5
Island in the Sky,1938,,,,,,,,HIL15
The Cisco Kid and the Lady,1939,,,,,,,,HIL20
Charlie Chan in the City of Darkness,1939,,,Fox,bnw,comd,,,HIL25
Time to Kill,1943,,,,,,,,HIL40
Met My Love Again,1956,J.Logan,,,,,,,JoL1
Picnic,1955,,Fred Kohlmar,Columbia,tcol,dram,AAN,,JoL2
Bus Stop,1956,,Buddy Adler,Fox,cs,romt,H,Tucson,JoL3
Sayonara,1957,,William Goetz,Pennebaker,tr,romt,AAN,,JoL4
South Pacific,1958,,,,,,,,JoL5
Tall Story,1960,,,,,,,,JoL6
Fanny,1960,,,,,,,,JoL7
Ensign Pulver,1964,,,,,,,,JoL8
Camelot,1967,,,,col,musc,H,,JoL9
Paint Your Wagon,1969,,,,,musc,,,JoL10
Accused; sit down,1938,Goodwins,,,,comd,,,LeG5
The Girl from Mexico,1939,,,RKO,bnw,comd,H,,LeG10
Mexican Spitfire,1939,,,RKO,bnw,comd,H,,LeG12
Mexican Spitfire Out West,1940,,,RKO,bnw,comd,H,,LeG14
Mexican Spitfire's Baby,1941,,,RKO,bnw,comd,H,,LeG16
Mexican Spitfire at Sea,1941,,,RKO,bnw,comd,H,,LeG18
Mexican Spitfire Sees a Ghost,1942,,,RKO,bnw,comd,H,,LeG20
Mexican Spitfire's Elephant,1942,,,RKO,bnw,comd,H,,LeG22
Mexico Spitfire's Blessed Event,1943,,,RKO,bnw,comd,H,,LeG24
Casanova in Burlesque,1944,,,Republic,bnw,comd,H,,LeG33
The Mummy's Curse,1944,,Oliver Drake,Universal,bnw,horr,VIP,,LeG36
Fireman Save My Child,1954,,Howard Christie,UI,bnw,actn,H,S.F.,LeG40
The Dybbuk,1938,Waszynski,,,,,,,MaW10
Woman Against Woman,1938,Sinclair,,,bnw,,,,RBS3
Dramatic School,1938,,,,bnw,,,,RBS4
Mr. and Mrs. North,1941,,,,bnw,,,,RBS7
Mr._District Attorney,1946,,,,bnw,,,,RBS9
That Wonderful Urge,1948,,Kohlmar,Fox,bnw,romt,H,,RBS15
Mr. Wong; Detective,1938,Nigh,Scott R. Dunlap,Monogram,bnw,myst,,,WlN10
Mr. Wong in Chinatown,1939,,Scott R. Dunlap,Monogram,bnw,myst,,,WlN12
Tarzan's Revenge,1938,Lederman,,,,advt,,,xLe10
Andalusische Nachte,1938,Maisch,,,,dram,,,xMa10
Das Madchen Johanna,1938,Ucicky,,,bnw,dram,,,xUc10
The Great Victor Herbert,1942,And.Stone,And.Stone,Paramount,bnw,biop,H,,AnS1
Stormy Weather,1942,,,,,biop,,,AnS3
Julie,1956,,Marty Melcher,MGM,bnw,,,,AnS15
Cry Terror,1958,,And.Stone,,,,,,AnS17
The Secret of my Success,1965,,And.Stone,,,,,,AnS29
Song of Norway,1969,,And.Stone,,,,,,AnS31
The Great Waltz,1972,,And.Stone,MGM,col,musc,VIP,,AnS33
Sing; Bing; Sing,1939,Stafford,Mack Sennett,,bnw,musc,,,BaS10
Blind Alley,1939,Ch.Vidor,,Columbia,bnw,comd,,,ChV2
The Lady in Question,1940,,,Columbia,bnw,romt,H,Paris,ChV8
The Tuttles of Tahiti,1942,,Sol Lesser,RKO,bnw,comd,,Tahiti,ChV13
A Song To Remember,1944,,,,bnw,biop,,Paris,ChV15
Gilda,1946,,Virginia vanUpp,Columbia,bnw,susp,H,Buenos Aires,ChV20
The Loves of Carmen,1948,,CH.Vidor,Columbia,tcol,dram,H,Sevilla,ChV26
Hans Christian Andersen,1952,,Samuel Goldwyn,,,biop,,,ChV35
The Joker is Wild,1957,,Frank Sinatra,Paramount,bnw,biop,,NYC,ChV45
A Farewell to Arms,1957,,Selznick,Fox,cs,romt,H,,ChV46
Gulliver's Travels,1939,D.Fleischer,M.Fleischer,Paramount,tcol,cart,H,,DFl10
Mr. Bug goes to Town,1941,,M.Fleischer,,tcol,cart,H,,DFl11
In Jenen Tagen,1947,Kautner,,,,,,,HeK5
Rotation,1949,,,,,,,,HeK8
Des Teufels General,1955,,,,bnw,,,,HeK9
Ludwig II,1955,,,,,biop,,,HeK10
Young Dr. Kildare,1939,Bucquet,,,,,,,HBu5
On Borrowed Time,1939,,,,,,,,HBu8
Dragon Seed,1944,,,,,s.f.,,,HBu30
The Saint in London,1939,Carstairs,,,,,,,IPC5
Sleeping Car to Trieste,1948,,George H. Brown,GFD,bnw,dram,H,,IPC25
Weekend With Lulu,1961,,,,,,,,IPC75
Volpone,1939,J.Tourneur,,RKO,bnw,dram,,Venice,JqT1
Cat People,1942,,VaL Lewton,RKO,bnw,horr,H,NYC,JqT2
I Walked with a Zombie,1943,,VaL Lewton,Turner,,horr,,,JqT3
The Leopard Man,1943,,VaL Lewton,RKO,bnw,susp,H,,JqT4
Experiment Perilous,1944,,,,,,,,JqT6
Out of the Past,1947,,Warren Duff,RKO,,noir,H,,JqT7
Berlin Express,1948,,Bert Granet,RKO,bnw,susp,H,,JqT8
Curse of the Demon,1957,,Frank Bevis,Sabre,bnw,horr,H,,JqT14
That's Right; You're Wrong,1939,Kern,,,,,,,JVK10
You'll Find Out,1940,,,,,,,,JVK13
Thank Your Lucky Stars,1943,,,,,,,,JVK16
The Doughgirls,1944,,,,,,,,JVK18
Never Say Goodbye,1946,,,,,,,,JVK21
Stallion Road,1947,,,,,,,,JVK25
April Showers,1948,,,,,,,,JVK27
The Second Woman,1949,,Mort Briskin,U.A.,bnw,susp,H,Carmel,JVK30
Two Tickets to Broadway,1951,,H.Hughes,RKO,tcol,,,,JVK35
That Hagen Girl,1948,Godfrey,Alex Gottlieb,Warners,,comd,W50,,PGy10
The Woman in White,1948,,,,,,,,PGy12
Barricade,1950,,Saul Elkins,Warners,,west,H,,PGy16
Please Murder Me,1956,,,,,,,,PGy20
Lost Angel,1943,Rowland,Robert Sisk,MGM,bnw,dram,,,RRw15
Our Vines Have Tender Grapes,1945,,Robert Sisk,MGM,bnw,dram,,,RRw20
Excuse My Dust,1951,,Cummins,MGM,col,comd,,,RRw25
The 5000 Fingers of Dr. T,1953,,St.Kramer,Columbia,,fant,,,RRw32
Affair with a Stranger,1953,,Robert Sparks,RKO,bnw,comd,H,,RRw33
Hit the Deck,1955,,Joe Pasternak,MGM,ecol,musc,H,S.F.,RRw35
These Wilder Years,1956,,Jules Schermer,MGM,bnw,dram,H,,RRw37
British Intelligence,1940,Morse,,,,,,,TMo6
Shadows Over Chinatown,1946,,,Fox,bnw,comd,,,TMo10
Dangerous Money,1946,,,Fox,bnw,comd,,,TMo11
What a Life,1939,T.Reed,,,bnw,musc,,,ThR10
Blackwell's Island,1939,McGann,Bryan Foy,Warners,bnw,actn,H,,WMG10
Of Mice and Men,1939,UnYear39,,,,dram,,Soledad,Z3910
Dark Waters,1944,deToth,,,bnw,horr,VIP,,ADT9
Ramrod,1947,,,MGM,bnw,west,H,,ADT12
House of Wax,1953,,Bryan Foy,Warners,wcol,horr,,,ADT18
Tanganyika,1954,,,,,advt,,,ADT23
Monkey on my Back,1957,,,,,,,,ADT26
Gold for the Caesars,1964,,,,,,,,ADT33
The East Side Kids,1940,B.Hill,Katzman,Monogram,bnw,dram,H,,BHl10
The Mummy's Hand,1940,Cabanne,Ben Pivar,Universal,bnw,horr,H,,CCb10
Duck Amuck,1945,Ch.Jones,,Warners,,comd,,,CJo20
What's Opera; Doc?,1957,,,Warners,,comd,NFR,,CJo30
Gay Puree,1962,,,Warners,,comd,,,CJo40
The Phantom Tollbooth,1969,,,Warners,col,comd,,,CJo50
Beyond the Rockies,1940,F.Allen,Tom Keene,RKO,bnw,west,H,,FAl10
Major Barbara,1940,G.Pascal,G.Pascal,,bnw,,H,,GPa1
Caesar and Cleopatra,1945,,G.Pascal,GB,,comd,,,GPa2.
I'm Still Alive,1940,Reis,,RKO,bnw,dram,H,,IgR2
The Big Street,1942,,,RKO,bnw,romt,H,Miami,IgR5
The Bachelor and the Bobbysoxer,1947,,Schary,RKO,bnw,,H,,IgR10
All My Sons,1948,,,,,,,,IgR12
Dancing in the Dark,1949,,George Jessel,Fox,tcol,musc,H,,IgR14
Three Husbands,1950,,I.G. Goldsmith,U.A.,bnw,comd,H,,IgR15
New Mexico,1952,,Irving Allen,U.A.,acol,west,H,,IgR19
Spellbound,1940,Harlow,R.Murray Leslie,Amalgamated Pyramid,bnw,dram,H,,IHw10
My Name is Julia Ross,1945,J.H.Lewis,,,,susp,,Cornwall,JHL6
So Dark the Night,1946,,,,,,,,JHL7
The Al Jolson Story,1946,,,,,,,,JHL8
The Undercover Man,1949,,,,,,,,JHL11
Gun Crazy,1949,,,,,actn,,,JHL12
The Big Combo,1955,,Sidney Harmon,Allied Artists,bnw,susp,H,,JHL17
Terror in a Texas Town,1958,,,,,,,,JHL20
L'Eternel Retour,1943,Delannoy,,,,dram,,,JnD6
