stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Dolores Dorn,1954,1980,Dorn-Heft,D,F,1935,1984,unknown,Am
Philip Dorn,1940,1951,vanDongen,Frits,M,1905,1975,sincere,Du
Sandra Dorn,1945,1972,Dorn,Sandra,F,1925,1984,tawdry,Br
Diana Dors,1946,1976,Fluck,Diana,F,1931,1984,blonde good-time girl,Br
Fifi D'Orsay,1930,1965,Lussier,Yvonne,F,1904,1983,vivacious,Ca
Gabrielle Dorziat,1880,1979,Moppert,G,F,1880,1979,character,Fr
Susana Dosamantes,,,,,F,,1992,unknown,Ct
Roy Dotrice,1965,1982,Dotrice,Roy,M,1923,1984,senile,Br
Catherine Doucet,1933,1949,Green,Catherine,F,1875,1958,imposing presence,Am
Diana Douglas,,,,,F,,1992,unknown,Ct
Donald Douglas,1934,1946,Douglas,Donald,M,1905,1945,quiet-spoken,Am
Donna Douglas,1962,1966,Douglas,Donna,F,1933,1984,blonde supporting,Am
Kent Douglas,,,,,M,,1992,unknown,Ct
Kirk Douglas,1946,1983,Demsky,Issur Danielovitch,M,1916,1984,tense; virile; intelligent hero,Am
Melvyn Douglas,1931,1981,Hesselberg,Melvyn,M,1901,1981,suave; polished,Am
Michael Douglas,1970,1983,Douglas,Michael,M,1945,1984,lead,Am
Paul Douglas,1948,1959,Douglas,Paul,M,1907,1959,burly; comedy sense,Am
Robert Douglas,1931,1964,Finlayson,Robert Douglas,M,1909,1984,lead,Am
Robyn Douglas,,,,,,,1992,unknown,
Sarah Douglas,,,,,F,,1992,unknown,
Brad Dourif,1976,1981,Dourif,Brad,M,1950,1984,character,Am
Billie Dove,1922,1962,Bohny,Lilian,F,1904,1997,lead,Am
Peggy Dow,1949,1951,Varnadow,Peggy,F,1928,1984,strong lead,Am
Ned Dowd,1977,,Dowd,Ned,M,,1984,hockey player,Am
Doris Dowling,1945,1964,Dowling,Doris,F,1921,1984,lead,Am
Joan Dowling,1946,1952,Dowling,Joan,F,1929,1954,teenager,Br
LesleyAnne Down,1969,1982,Down,Lesley-Anne,F,1954,1984,lead,Br
Robert Downey~jr.,1989,1991,Downey,Robert~jr.,M,1965,1984,ty,Am
Johnny Downs,1935,1953,Downs,Johnny,M,1913,1984,light lead; dancer,Am
Betsy Drake,1948,,Drake,Betsy,F,,1984,unknown,Am
Charles Drake,1941,1971,Ruppert,Charles,M,1914,1994,dullish; good-natured,Am
Dona Drake,1941,1954,Novella,Rita,F,1920,1984,livewire,Me
Frances Drake,1933,1940,Drake,Frances,F,1908,1992,lead,Am
Paul Drake,,,,,M,,1992,unknown,Ct
Tom Drake,1944,1975,Drake,Tom,F,1918,1982,`boy next door',Am
Patrick Dray,,,,,M,,1992,unknown,Ct
Alfred Drayton,1915,1948,Varick,Alfred,M,1881,1949,bald; comedy villain,Br
Alex Dreier,1972,1974,Dreier,Alex,M,1916,1984,rotund; character,Am
Sonia Dresdel,1942,1972,Obee,Lois,F,1909,1976,masterful role,Br
Louise Dresser,1923,1937,Dresser,Louise,F,1881,1965,character,Am
Marie Dressler,1914,1933,Von Koerber,Leila,F,1869,1934,comedy character,Am
Ellen Drew,1936,1957,Ray,Terry,F,1915,1984,vivacious,Am
Georgiana Drew,,, Blythe,Herbert,M,,1992,stage,Am
Richard Dreyfuss,1968,1981,Dreyfuss,Richard,M,1948,1984,charmer,Am
Bobby Driscoll,1943,1955,Driscoll,Bobby,M,1937,1968,boy actor,Am
Kate Driver,1999,,Driver,Kate,F,1969,1984,beauty,Am
Minnie Driver,1994,1998,Driver,Minnie,F,1971,1984,charming,Br
Joanne Dru,1946,1965,la Coque,Joanne,F,1923,1984,lead,Am
James Drury,1956,1974,Drury,James,M,1934,1984,second lead,Am
Don Dubbins,1953,1963,Dubbins,Don,M,1929,1984,second lead,Am
Davd Duchovny,1988,2000,Duchovny,David,M,1960,1995,,Am
Lesley Dudley,,,,,,,1992,unknown,Ct
Pete Duel,1969,1970,Deuel,Peter,M,1940,1971,lead,Am
Howard Duff,1947,1981,Duff,Howard,M,1917,1984,good-looking but shifty,Am
Julia Duffy,,1981,Hinds,Julia,F,1951,1984,young mother,Am
Patrick Duffy,,,,,M,,1992,unknown,Ct
Dennis Dugan,1976,1977,Dugan,Dennis,M,1948,1984,clumsy comic,Am
Tom Dugan,1927,1951,Dugan,Tom,M,1889,1955,Irish cop or minor criminal,Am
Andrew Duggan,1956,1969,Duggan,Andrew,M,1923,1984,stalwart,Am
Richard Duggan,,,,,M,,1992,unknown,Ct
Olympia Dukakis,,,,,F,,1992,unknown,Ct
David Dukes,1979,1983,Dukes,David,M,,1984,lead,Am
Keir Dullea,1961,1983,Dullea,Keir,M,1936,1984,nervous,Am
Jane Dulo,,,,,F,,1992,unknown,Ct
Sandra Dumas,,,,,F,,1992,unknown,Ct
Gerald duMaurier,,,,,M,,1992,unknown,Ct
Douglass Dumbrille,1931,1965,Dumbrille,Douglass,M,1890,1974,smooth; suave,Ca
Ralph Dumke,1949,1957,Dumke,Ralph,M,1900,1964,heavily-built supporting,Am
Margaret Dumont,1929,1964,Baker,Margaret,F,1889,1965,comedienne,Am
Faye Dunaway,1967,1984,Dunaway,Faye,F,1941,1984,lead,Am
Dixie Dunbar,1934,1938,Dunbar,Christina Elizabeth,F,1919,1984,energetic petite chorine,Am
Archie Duncan,1947,1969,Duncan,Archie,M,1914,1979,burly,Br
Carmen Duncan,,,,,F,,1992,unknown,
Isadora Duncan,, , ,,F,,1992,dancer,Am
Mary Duncan,1927,1933,Duncan,Mary,F,1903,1984,vamp,Am
Sandy Duncan,1971,1971,Duncan,Sandy,F,1946,1984,tomboyish,Am
Victor Dunlop,,,,,M,,1992,unknown,Ct
Emma Dunn,1920,1948,Dunn,Emma,F,1875,1966,character,Br
James Dunn,1931,1966,Dunn,James,M,1905,1967,genial,Am
Liam Dunn,,,,,,,1992,unknown,Ct
Michael Dunn,1965,1974,Miller,Gary Neil,M,1935,1973,dwarf,Am
Robert Dunn,,,,,M,,1992,unknown,Ct
Griffin Dunne,,, Dunne,Griffin,M,1955,1984,unknown,Am
Irene Dunne,1930,1952,Dunne,Irene,F,1901,1990,gracious; sensible,Am
Steve Dunne,,,,,M,,1992,unknown,Ct
Mildred Dunnock,1945,1975,Dunnock,Mildred,F,1904,1991,motherly,Am
Don Dunphy,,,,,M,,1992,unknown,Ct
Minnie Dupree,1929,1940,Dupree,Minnie,F,1873,1947,sweet old lady,Am
Ann Duprey,,,,,F,,1992,unknown,Ct
June Duprez,1936,1961,Duprez,June,F,1918,1984,lead,Br
Paul Dupuis,1945,1950,Dupuis,Paul,M,1916,1976,lead,Ca
Jimmy Durante,1930,1963,Durante,Jimmy,M,1893,1980,long-nosed,Am
Anthony Durbee,,,,,M,,1992,unknown,Ct
Deanna Durbin,1936,1948,Durbin,Edna Mae,F,1921,1984,CA,Ct
Charles Durning,1965,1983,Durning,Charles,M,1933,1984,burly,Am
Monique Dury,,,,,F,,1992,unknown,Ct
Dan Duryea,1941,1968,Duryea,Dan,M,1907,1968,laconic; long-faced,Am
Robert Duvall,1963,1984,Duvall,Robert,M,1931,1984,nervous villain,Am
Shelley Duvall,1970,1981,Duvall,Shelley,F,1949,1984,unknown,Am
Ann Dvorak,1929,1951,McKim,Ann,M,1912,1979,smart; sensitive,Am
Peter Dvorsky,,,,,M,,1992,unknown,Ct
Leslie Dwyer,1921,1964,Dwyer,Leslie,M,1906,1984,plump cockney,Br
Franklin Dyall,1930,1949,Dyall,Franklin,M,1874,1950,unknown,Br
Valentine Dyall,1943,1965,Dyall,Valentine,M,1908,1984,gaunt; resounding voice,Br
Cameron Dye,,,,,M,,1992,unknown,Ct
Bob Dylan,,, Zimmerman,Robert,M,,1992,singer,Am
Richard Dysart,,,,,M,,1992,unknown,Ct
William Dysart,,,,,M,,1992,unknown,Ct
George Dzunda,1981,1991,Dzunda,George,M,,1992,unknown,Ct
George Eastman,1972,,,,M,,1992,unknown,Ct
Marilyn Eastman,,,,,F,,1992,unknown,Ct
Alison Eastwood,,,,,F,,1992,unknown,Am
Clint Eastwood,1955,1988,Eastwood,Clint,M,1930,1984,tough cop,Am
Francesca Eastwood,1999,,,,F,1994,1984,unknown,Am
Kimber Eastwood,,,,,F,,1992,unknown,Am
Kyle Eastwood,,,,,,,1992,unknown,Ct
Mary Eaton,1923,1929,Eaton,Mary,F,1901,1948,lead,Am
Shirley Eaton,1956,1968,Eaton,Shirley,F,,1984,pneumatic blonde,Br
Horst Ebersberg,,,,,M,,1992,unknown,Ct
Christine Ebersole,,,,,F,,1992,unknown,Ct
Buddy Ebsen,1936,1981,Ebsen,Christian Rudolf,M,1908,2003,dancer; detective; country patriarch,Am
Maude Eburne,1930,1950,Eburne,Maude,F,1875,1960,diminutive; frowning matron,Am
Eileen Eckhart,,,,,F,,1992,unknown,Ct
Gosta Eckman~sr.,1939,,Eckman,"G""osta",M,,1992,unknown,Sw
Gosta Eckman,1980,,Eckman,"G""osta",M,,1992,unknown,Sw
Hasse Eckman,1936,1960,Hasse,Eckman,,1915,1992,[1],Sw
Hallie Eckstein,,,,,,,1992,unknown,Ct
Helen Jerome Eddy,1916,1940,Eddy,Helen Jerome,F,1897,1984,character,Am
Nelson Eddy,1931,1947,Eddy,Nelson,M,1901,1967,romantic singer,Am
Herb Edelman,1967,1983,Edelman,Herb,M,1930,1984,bald; lanky,Am
Barbara Eden,1956,1981,Huffman,Barbara,F,1934,1984,lead; singer,Am
Elizabeth Edmonds,,,,,F,,1992,unknown,Ct
Anthony Edwards,,,,,M,,1992,unknown,Ct
Blake Edwards,1947,,Edwards,Blake,M,1922,1971,unknown,Am
Cliff Edwards,1929,1953,Edwards,Cliff,M,1895,1971,diminutive,Am
Henry Edwards,1918,1952,Edwards,Henry,M,1882,1952,gentlemanly,Am
James Edwards,1949,1965,Edwards,James,M,1922,1970,black character,Am
Jennifer Edwards,,,,,F,,1992,unknown,Ct
Luke Edmonds,,,,,M,,1984,unknown,Ct
Snitz Edwards,,,,,M,,1992,unknown,Ct
Vince Edwards,1951,1983,Zoine,Vincento Eduardo,M,1928,1984,tough sincere,Am
Eddie Egan,1974,1979,Egan,Eddie,M,1924,1984,burly,Am
Richard Egan,1949,1979,Egan,Richard,M,1921,1984,virile,Am
Julie Ege,1970,1974,Ege,Julie,F,1943,1984,decorative,No
Samantha Eggar,1962,1979,Eggar,Samantha,F,1939,1984,lead,Br
Lisa Eichhorn,1979,1981,Eichhorn,Lisa,F,1952,1984,lead,Am
Jill Eikenberry,1977,1986,Eikenberry,Jill,F,1947,1984,lead,Am
Lisa Eilbacher,,,,,F,,1992,unknown,Ct
Janet Eilber,,,,,F,,1992,unknown,Ct
Sally Eilers,1928,1950,Eilers,Sally,F,1908,1978,quiet-spoken,Am
Anthony Eisley,1959,,Eisley,Fred,M,,1984,unknown,Ct
Ike Eisenmann,,,,,F,,1992,unknown,Ct
Anita Ekberg,1953,1992,Ekberg,Anita,F,1931,1984,statuesque,Sw
Britt Ekland,1966,1982,Ekland,Britt-Marie,F,1942,1984,cool blonde,Sw
Jack Elam,1950,1979,Elam,Jack,M,1916,1984,laconic; swarthy,Am
John Eldredge,1934,1956,Eldredge,John,F,1917,1960,mild wimp,Am
Florence Eldridge,1923,1966,MacKechnie,Florence,F,1901,1988,unknown,Am
Hector Elizondo,1971,2001,Elizondo,Hector,M,1936,1984,character,Am
Duke Ellington,,,Ellington,Edward,M,,1984,musician,Am
Laura Elliot,1949,1954,Elliot,Laura,F,1929,1992,support,Am
Biff Elliott,,,,,M,,1992,unknown,Ct
Denholm Elliott,1949,1983,Elliott,Denholm,M,1922,1992,well-mannered,Br
Frank Elliott,,,,,M,,1992,unknown,Ct
Jane Elliott,,,,,F,,1992,unknown,Ct
Robert Elliott,1917,1945,Elliott,Robert,M,1879,1951,lead,Ir
Sam Elliott,1970,1980,Elliott,Sam,M,1944,1984,lead,Am
Stephen Elliott,,,,,M,,1992,unknown,Ct
`Wild Bill' Elliott,1927,1957,Elliott,Gordon,M,1904,1965,burly,Am
Edward Ellis,1932,1942,Ellis,Edward,M,1872,1952,stern,Am
Mary Ellis,1934,1961,Elsas,Mary,F,1900,1984,lead,Am
Patricia Ellis,1932,1939,OBrien,Patricia Gene,,1916,1970,lead,Am
Robin Ellis,,,,,,,1992,unknown,Ct
Art Ellison,,,,,M,,1992,unknown,Ct
Frank Ellison,1932,1952,Smith,Frank Ellison,M,1910,1984,genial,Am
James Ellison,1932,1952,Smith,James Ellison,M,1910,1984,genial lead,Am
Michael Elphick,1980,,Elphick,Michael,M,1946,200x,unknown,GB
Isobel Elsom,1919,1964,Reed,Isobel,F,1893,1981,romantic lady,Br
Sallee Elyse,,,,,F,,1992,unknown,Ct
Faye Emerson,1943,1957,Emerson,Faye,F,1917,1983,socialite,Am
Hope Emerson,1932,1958,Emerson,Hope,F,1897,1960,brawny,Am
Roy Emerton,1932,1944,Emerton,Roy,M,1892,1944,long-nosed,Br
Dick Emery,1960,1972,Emery,Dick,M,1918,1983,chubby; disguise,Br
Gilbert Emery,1929,1945,Emery,Gilbert,M,1875,1945,character,Br
Robert Emhardt,1952,1976,Emhardt,Robert,M,1916,1984,short and tubby,Am
Michael Emil,,,,,M,,1992,unknown,Ct
Fred Emney,1935,1969,Emney,Fred,M,1900,1980,heavyweight; growls,Br
Robert Englund,,,,,M,,1992,unknown,Ct
Rene Enriquez,,,,,M,1932,1990,unknown,Ct
Henry Ephron,,,Ephron,Henry,M,1911,1992,unknown,Ct
Margaret Eppie,,,,,F,1930,1989,unknown,Am
Richard Erdmann,1944,1982,Erdmann,Richard,M,1925,1984,callow; crusty,Am
Doc Erickson,,,,,M,,1992,unknown,Ct
Leif Erickson,1935,1976,Anderson,William,M,1911,1986,second lead,Am
John Ericson,1951,1977,Meibes,Joseph,M,1927,1984,lead,Ge
Krista Errickson,,,,,F,,1992,unknown,Ct
Leon Errol,1930,1948,Errol,Leon,M,1881,1951,comedian,Au
Howard Erskine,1983,,,,M,,1992,unknown,Ct
Stuart Erwin,1928,1965,Erwin,Stuart,M,1903,1967,character comedian,Am
Carl Esmond,1933,1966,Eichberger,Willy,M,1905,1984,haughty; arrogant,Os
Jill Esmond,1931,,Esmond,Jill,F,1908,1984,lady,Br
David Essex,1970,1980,Essex,David,M,1947,1984,pop singer,Br
Emilio Estevez,,,,,M,,1992,unknown,Ct
Shari Eubank,,,,,F,,1992,unknown,Ct
Barry Evans,1967,1981,Evans,Barry,M,1945,1984,light lead,Br
Clifford Evans,1936,1970,Evans,Clifford,M,1912,1984,lead; character,Br
Dale Evans,1942,1956,Smith,Frances Octavia,F,1912,2001,cowgirl,Am
Dame Edith Evans,1915,1976,Evans,Dame Edith,F,1888,1976,distinguished,Br
Gene Evans,1948,1977,Evans,Gene,M,1922,1984,stocky,Am
Linda Evans,1963,1983,Evans,Linda,F,1943,1984,blonde,Am
Maurice Evans,1930,1973,Evans,Maurice,M,1901,1989,eloquent,Br
Michael Evans,,,,,M,,1992,unknown,Ct
Rex Evans,1940,1958,Evans,Rex,M,1903,1969,character,Br
Robert Evans,1952,1980,Evans,Robert,M,1930,1984,bland juvenile,Ct
Judith Evelyn,1954,1959,Allen,J.E.,F,1913,1967,neurotic woman,Am
Barbara Everest,1931,1962,Everest,Barbara,F,1890,1968,motherly,Br
Chad Everett,1961,1983,Cramton,Raymond,M,1937,1984,handsome lead,Am
Trish Everly,,,,,F,,1992,unknown,Ct
Jason Evers,1970,1977,Evers,Herbert,M,1922,1984,general purpose,Am
John Ewart,,,,,M,,1992,unknown,Ct
Tom Ewell,1949,1981,Tompkins,S.~Yewell,M,1909,1984,comic,Am
Richard Eyer,,,,,M,,1992,unknown,Ct
William Eythe,1942,1950,Eythe,William,M,1918,1957,lead,Am
Francoise Fabian,1956,1977,Fabian,Francoise,F,1935,1984,lead,Sp
Fabio,,,Lanzoni,Fabio,M,1961,1984,sexy,It
Nanette Fabray,1939,1981,Fabares,Nanette,F,1920,1984,comedy,Am
Aldo Fabrizi,1945,1968,Fabrizi,Aldo,M,1905,1990,character,It
Douglas Fairbanks~sr,1915,1934,Ullman,Douglas,M,1883,1939,swashbuckling,Am
Douglas Fairbanks~jr.,1920,1981,Fairbanks,Douglas~jr.,M,1909,1984,debonair,Am
Sydney Fairbrother,1916,1938,Tapping,S.,M,1873,1941,character,Br
Morgan Fairchild,1978,1981,Fairchild,Morgan,F,1950,1984,lead,Am
Adam Faith,1960,1974,Nelhams,Terence,M,1940,1984,unknown,Br
Eduardo Fajardo,,,,,M,,1992,unknown,Ct
Lola Falana,,,,,F,,1992,unknown,Ct
Fabray Falconetti,,,,,F,,1992,unknown,Ct
Peter Falk,1958,1981,Falk,Peter,M,1927,1984,fast-talking; cast-eyed,Am
Deborah Fallender,,,,,F,,1992,unknown,Ct
Dennis Lee Falt,,,,,M,,1992,unknown,Ct
Sergio Fantoni,1960,1971,Fantoni,Sergio,M,1930,1984,lead,It
Daniel Faraldo,,,,,M,,1992,unknown,Ct
Amy Farber,,,,,F,,1992,unknown,Ct
Maria Farebrother,,,,,F,,1992,unknown,Ct
Violet Farebrother,,,,,F,,1992,unknown,Ct
James Farentino,1964,1983,Farentino,James,M,1938,1984,lead,Am
Antonio Fargas,1969,1978,Fargas,Antonio,M,,1984,bear,PR
Chris Farley,,1997,Farley,Chris ,M,1964,1997,fat comic,Am
Frances Farmer,1927,1958,Farmer,Frances,F,1914,1970,lead,Am
Mimsy Farmer,1963,1980,Farmer,Mimsy,F,1945,1984,lead,Am
Richard Farnsworth,,,,,M,,1992,unknown,Ct
Dustin Farnum,1914,,Farnum,Dustin,M,,,unknown,Am
Franklyn Farnum,,, Farnum,Franklyn,M,1876,1961,silent western lead,Am
William Farnum,1914,1952,Farnum,William,M,1876,1953,silent lead,Am
Derek Farr,1940,1968,Farr,Derek,M,1912,1984,lead,Br
Felicia Farr,,,,,F,,1992,unknown,Ct
Jamie Farr,1965,1973,Farr,Jamie,M,,1984,long-nosed comic,Am
Derek Farr,1940,1955,Farr,Derek,M,,1986,lead,Ct
David Farrar,1938,1962,Farrar,David,M,1908,1984,tall; virile,Br
Geraldine Farrar,1915,1920,Farrar,Geraldine,F,1882,1967,dramatic,Am
Charles Farrell,1923,1960,Farrell,Charles,M,1901,1984,gentle,Am
Charles Farrell,1931,1958,Farrell,Charles,M,1901,1990,character,Ir
Glenda Farrell,1930,1968,Farrell,Glenda,F,1904,1971,comedienne,Am
Nick Farrell,,,,,M,,1992,unknown,Ct
Sharon Farrell,1959,1979,Farrell,Sharon,F,,1984,general purpose,Am
Mia Farrow,1964,1983,Farrow,Maria,F,1945,1984,lead,Am
Stephanie Farrow,1983,,,,F,,1992,unknown,Ct
Tisa Farrow,,,,,F,,1992,unknown,Ct
Rainer Fassbinder,1969,1975,Fassbinder,Rainer Werner,M,1945,1982,lead),Ge
Graham Faulkner,,,,,M,,1992,unknown,Ct
James Faulkner,,,,,M,,1992,unknown,Ct
Farrah Fawcett,1971,1980,FawcettMajors,Farrah,F,1947,1984,pin-up,Am
Michelle Fawden,,,,,F,,1992,unknown,Ct
Alice Faye,1934,1978,Leppert,Alice,F,1912,1984,wry; singer,Am
Frank Faylen,1936,1968,Ruf,Frank,M,1907,1984,bartender; sherriff; gangster,Am
Louise Fazenda,1922,1939,Fazenda,Louise,F,1895,1962,lead,Am
Lynne Federicks,,,,,F,,1992,unknown,Ct
Birgitte Federspiel,,,,,F,,1992,unknown,Ct
Bekim Fehmiu,1966,1977,Fehmiu,Bekim,M,1932,1984,stalwart,Cz
Frances Feist,,,,,F,,1992,unknown,Ct
Fritz Feld,1929,1981,Feld,Fritz,M,1900,1984,dapper comedian,Ge
Marty Feldman,1969,1983,Feldman,Marty,M,1933,1982,pop-eyed comic,Br
Barbara Feldon,1967,1979,Feldon,Barbara,F,1939,1984,lead,Am
Tovah Feldshuh,1973,1983,Feldshuh,Tovah,F,,1984,lead,Am
Maria Felix,1947,1955,Felix,Maria,F,1915,1984,strong personality,Me
Norman Fell,1961,1981,Fell,Norman,M,1928,1984,sad-looking,Am
Rockliffe Fellowes,1917,1934,Fellowes,Rockliffe,M,1885,1950,general purpose,Ca
Edith Fellows,1932,1947,Fellows,Edith,F,1923,1984,teenage star,Am
Hansjoerg Felmy,1956,1966,Felmy,Hansjoerg,M,1931,1984,lead,Ge
Verna Felton,1950,1960,Felton,Verna,F,1890,1966,character,Am
Sherilyn Fenn,1985,1993,Fenn,Sherilyn,F,1965,1984,sexy,Ct
Sylvie Fennec,1989,,Fennec,Sylvie,M,,1992,unknown,Be
Willie Fennell,,,,,M,,1992,unknown,Ct
Frank Fenton,1942,1958,Fenton,Frank,M,1906,1957,general purpose supporting,Am
Irine Fenwick,,, Fenwick,Irene,F,,1936,unknown,Am
Pamelyn Ferdin,,,,,F,,1992,unknown,Ct
Elsie Ferguson,1917,1927,Ferguson,Elsie,F,1883,1961,lead,Am
Frank Ferguson,1942,1968,Ferguson,Frank,M,1899,1978,toothy,Am
J. Don Ferguson,,,,,M,,1992,unknown,Ct
Jane Ferguson,,,,,F,,1992,unknown,Ct
Fernandel,1937,1967,Contandin,Fernand,M,1903,1971,rubber-faced,Fr
Wilhelmina Fernandez,1981,,Fernandez,Wilhelmina Wiggins,F,,1992,singer,Ct
Conchata Ferrell,1978,1981,Ferrell,Conchata,F,1943,1984,character,Am
Jose Ferrer,1948,1983,Ferrer y Centron,Jos'e Vincente,M,1909,1992,distinguished,Am
Mel Ferrer,1949,1981,Ferrer,Mel,M,1917,1984,sensitive-looking,Am
Benoit Ferreux,1970,,,,M,1955,1984,sensitive,Fr
Noel Ferrier,,,,,F,,1992,unknown,Ct
Lou Ferrigno,,,,,M,,1992,unknown,Ct
Gabrielle Ferzetti,1948,1976,Ferzetti,Pasquale,M,1925,1984,lead,It
Stepin Fetchit,1929,1953,Perry,Lincoln,M,1898,1985,slow moving black servant,Am
Edwige Feuillere,1930,1964,Cunati,Edwige,F,1907,1984,distinguished,Fr
Lewis Fiander,1971,1978,Fiander,Lewis,M,1938,1984,unknown,Au
John Fiedler,1957,1982,Fiedler,John,M,1925,1984,mild; bespectacled,Am
Betty Field,1939,1968,Field,Betty,F,1918,1973,unknown,Am
Karen Field,,,,,F,,1992,unknown,Ct
Mary Field,1941,1948,Field,Mary,F,1905,1984,prissy spinster,Am
Sally Field,1965,1993,Field,Sally,F,1946,1984,diminutive neatnick,Am
Shirley Anne Field,1956,1966,Field,Shirley Anne,F,1938,1984,lead,Br
Sid Field,1946,1948,Field,Sid,M,1904,1950,comedian,Br
Virginia Field,1935,1965,Field,Margaret Cynthia,F,1917,1984,second lead,Br
Edward Fielding,,,,,M,,1992,unknown,Ct
Fenella Fielding,1962,1969,Fielding,Fenella,F,1930,1984,outrageously exaggerated roles,Br
Margaret Fielding,,,,,F,,1992,unknown,Ct
Marjorie Fielding,1943,1953,Fielding,Marjorie,F,1892,1956,strict but kindly gentlewomen,Br
Charles Fields,,,,,M,,1992,unknown,Ct
Gracie Fields,1931,1945,Stansfield,Gracie,F,1898,1979,inimitable voice,Br
W.C. Fields,,, Dukenfield,William Claude,M,,1984,jolly,Am
Tom Filer,,,,,M,,1992,unknown,Ct
Dennis Fimple,,,,,M,,1992,unknown,Ct
Flora Finch,,, Finch,Flora,F,1869,1940,unknown,Br
Jon Finch,1970,1978,Finch,Jon,M,1941,1984,lead,Am
Peter Finch,1937,1976,Finch,Peter,M,1916,1977,thoughtful-looking,Br
Larry Fine,1930,1957,Fienberg,Louis,M,1911,1975,adolescent stooge,Am
T.G. Finkbinder,,,,,M,,1992,unknown,Ct
Frank Finlay,1962,1982,Finlay,Frank,M,1926,1984,unknown,Br
James Finlayson,1921,1951,Finlayson,James,M,1877,1953,`double take and fade away',Br
William Finley,,,,,M,,1992,unknown,Ct
Warren Finnerty,,,,,M,,1992,unknown,Ct
Albert Finney,1959,1983,Finney,Albert,M,1936,1984,unknown,Br
Shirley Jo Finney,,,,,F,,1992,unknown,Ct
Elena Fiore,,,,,F,,1992,unknown,Ct
Eddie Firestone,,,,,M,,1992,unknown,Ct
Peter Firth,1971,1983,Firth,Peter,M,1953,1984,juvenile character lead,Br
Frances Fisher,,,,,F,1952,1984,unknown,Am
O.W. Fischer,1942,1965,Fischer,O.W.,M,1915,1973,lead,Os
Larry Fishburne,,,,,M,,1992,unknown,Ct
Carrie Fisher,1975,1980,Fisher,Carrie,F,1956,1984,strong personality,Am
Cindy Fisher,,,,,F,,1992,unknown,Ct
Eddie Fisher,1950,1966,Fisher,Edwin Jack,M,1928,1984,unknown,Ct
Frances Fisher,,,,,F,,1992,unknown,Ct
Minnie Maddern Fiske,1913,1915,Fiske,Minnie,F,1866,1932,unknown,Am
Barry Fitzgerald,1930,1959,Shields,William,M,1888,1961,diminutive,Ir
Ella Fitzgerald,1941,1960,Fitzgerald,Ella,F,1918,1984,singer,Am
Geraldine Fitzgerald,1935,1983,Fitzgerald,Geraldine,F,1912,1984,lead,Ir
Walter Fitzgerald,1930,1962,Bond,Walter,M,1896,1976,character,Br
Paul Fix,1928,1977,Morrison,Paul ,M,1901,1983,sheriffs; doctors,Am
Fannie Flagg,1970,1978,Flagg,Fannie,F,,1984,comedienne,Am
Steve Flagg,1953,,St. Angel,Michael,M,,1984,unknown,
Kirsten Flagstad,1938,1938,Flagstad,Kirsten,F,1895,1962,operatic soprano,No
Ed Flanders,1971,1981,Flanders,Ed,M,1934,1984,Truman impersonator,Am
Susan Flannery,1974,1979,Flannery,Susan,F,1943,1984,general purpose,Am
James Flavin,1933,1967,Flavin,James,M,1906,1976,genial or bewildered cop,Ir
Rhonda Fleming,,, Louis,Marilyn,F,1922,1984,lead,Am
Cyril Fletcher,1943,1948,Fletcher,Cyril,M,1913,1984,comedian,Br
Louise Fletcher,1974,1983,Fletcher,Louise,F,1936,1984,character,Am
Jay C. Flippen,1934,1971,Flippen,Jay C.,M,1898,1971,bulky cop,Am
"George ""Buck"" Flower",,,,,M,,1992,unknown,Ct
Darlanne Fluegel,1978,1984,,,F,1958,1984,leggy blonde,Ct
Joel Fluellen,1946,1976,Fluellen,Joel,M,,1984,character,Am
Errol Flynn,1933,1959,Flynn,Errol,M,1909,1959,swashbuckler; drunk,Au
Joe Flynn,1956,1977,Flynn,Joe,M,1924,1974,bespectacated comedian,Am
Sean Flynn,1960,1970,Flynn,Sean,M,1941,1970,lead,Am
Nina Foch,1943,1988,Fock,Nina Consuelo Maud,F,1924,1984,chic cool blonde,Du
Bridget Fonda,1989,1992,Fonda,Bridget,F,1964,1984,unknown,Am
Henry Fonda,1942,1956,,,M,1905,1982,gauche sophisticated romantic,Am
Jane Fonda,1960,1988,Fonda,Jane,F,1937,1984,liberated,Am
Peter Fonda,1963,1982,Fonda,Peter,M,1939,1984,unknown,Am
Leo Fong,,,,,M,,1992,unknown,Ct
Joan Fontaine,1935,1979,deHavilland,Joan de Beauvoir,F,1917,1984,shy,Br
Genevieve Fontanel,1977,,Fontanel,Genevi`eve,F,,1992,unknown,Fr
Margot Fonteyn,1983,,Hookham,Peggy,F,,1991,ballet dancer,Br
Dick Foran,1934,1964,Foran,Nicholas,M,1910,1979,burly,Am
Bryan Forbes,1948,1964,Clarke,John,M,1926,1984,lively,Br
Mary Forbes,1929,1956,Forbes,Mary,F,1882,1974,haughty society lady,Br
Ralph Forbes,1921,1944,Taylor,Ralph,M,1902,1951,lead,Br
David Ford,,,,,M,,1992,unknown,Ct
Dorothy Ford,1944,1954,Ford,Dorothy,F,1923,1984,tall,Am
Francis Ford,1912,1952,Ford,Francis,M,1883,1953,grizzled; cheery westerner,Am
Glenn Ford,1939,1980,Ford,Gwyllyn,M,1916,1992,stocky,Ca
