pcode,did,lname,fname,,,background/0,yearstart,yearend
D,JeC,Chechik,Jeremiah,19xx,,Ct,1992,
D,BCh,Cheiton,Bodd,,,Ct,1995,
D,PCh,Chelsom,Peter,,,Ct,1992,1998
D,ACh,Chen,Andrew,,,Ch,1998,
A,JnC,Chen,Joan,19xx,19yy,Ch,1999,2000
D,KGC,Chen,KaiGe,,,Ch,1985,
D,xCh,Chen,xgn,,,Ch,1999,
D,PaC,Chereau,Patrice,,,Fr,1975,1994
B,,Chesterton,G.K.,,,Br,,
D,CST,Ching,SuiTung,,,HK,1985,1990
D,LCl,Cholodenko,Lisa,,,Ct,1998,
D,MvC,Chomsky,Marvin,,,Am,1971,1984
D,TCh,Chong,Thomas,,,Am,1978,1982
D,RCh,Christian,Roger,19xx,199x,Ct,1997,
D,ChJ,Maudet,Christian,1904,,Fr,1938,1980
D,VCy,Chytilova,Vera,19xx,,,1992,
D,MCb,Cimber,Matt,,,,1981,
W,MCi,Cimino,Michael,1940,,Am,1973,1980
D,SoC,Cisse,Souleymane,,,,,
D,RC,Chomette,Rene,1898,1981,Fr,1923,1965
D,ACl,Clark,Alan,,,Ct,1987,
D,BCl,Clark,Bob,,,Ca,1972,1983
D,BDC,Clark,B.D.,,,,1981,
D,GCl,Clark,Greydon,19xx,,Am,1980,
E,JiC,Clark,Jim,1931,,Br,1968,1974
E,JBC,Clark,James B.,1908,,Am,1957,1971
D,SCl,Clarke,Shirley,,,Am,1961,1964
D,RtC,Clause,Robert,,,Ct,1996,
D,RCv,Clavel,Robert,,,Fr,1951,
W,JCv,Clavell,James,1922,,,1958,1971
C,JCn,Clayton,Jack,1921,,Br,1955,1983
D,TCl,Clegg,Tom,,,Am,1980,
D,WCl,Clemens,William,1905,,Am,1936,1947
D,RCl,Clement,Rene,1913,1996,Fr,1943,1975
D,GrC,Clifford,Graeme,,,,1982,1990
D,ECl,Clifton,Elmer,,,Am,1944,
D,ECn,Cline,Edward,1892,1948,Am,1916,1948
W,RbC,Clouse,Robert,,,,1973,1977
W,HGC,Clouzot,Henri-Georges,1907,1977,Fr,1942,1970
D,SIC,Clowes,St.John L.,,,Br,1948,
D,HaC,Clurman,Harold,,199x,,1946,
D,LCo,Cozzi,Luigi,,,,1983,
D,SyC,Cochran,Stacy,,,Ct,1992,
W,FCk,Cockrell,Francis,,,Am,1956,
W,Mck,Cockrell,Marian,,,Am,1956,
W,JC,Cocteau,Jean,1869,1963,Fr,1930,1959
P,FrC,Coe,Fred,1914,1979,Am,1965,1969
D,WaC,Coe,Wayne,,,Am,1990,
W,,Coen,E-than,,,Am,1984,1990
D,JlC,Coen,Joel,,,Am,1984,1990
D,ECh,Cohen,Eli,,,,1991,
W,LCh,Cohen,Larry,1938,,Am,1955,
D,NCh,Cohen,Norman,,,Br,1977,
D,RCn,Cohen,Rob,,,Am,1984,1996
D,ACo,Cohn,Arthur,,,Ct,1999,
D,EiC,Cohl,Emilre,19xx,,Fr,1909,1911
P,,Cohn,Harry,1891,1958,Am,,
D,HCo,Coleman,Herbert,,,Am,1965,
D,RAC,Colla,Richard A.,,,Am,1972,1978
D,CyC,Collard,Cyril,1951,1993,Fr,1994,
D,DuC,Coletti,Dulio,,,It,1960,
C,DvC,Collier,David,1962,,Am,1994,
W,JFC,Collier,James F.,1929,1991,Am,1963,
D,LCs,Collins,Lewis D.,,,Ct,1948,
D,PhC,Collins,Philip,,199x,,1990,
D,RgC,Collins,Roger,,199x,,1994,199
D,PCo,Collinson,Peter,1938,1980,Br,1967,1980
D,HrC,Colpi,Henri,,,Ct,1961,
W,CCo,Columbus,Chris,1959,,Am,1987,1992
C,LaC,Comfort,Lance,1908,1966,Br,1941,1965
D,LgC,Comencini,Luigi,,,It,1953,1988
D,RCm,Compton,Richard,,,Am,1973,1975
D,BCo,Condon,Bill,,,Ct,1998,
D,NcC,Conn,Nicole,,,Ct,1992,
D,KCo,Connor,Kevin,,,Am,1970,1979
P,WCo,Conrad,William,,,Ct,1965,
P,,Considine,"John W. jr.",,,Am,1935,1936
M,,Conti,Bill,,,,1979,
D,JCw,Conway,Jack,1887,1952,Am,1912,1948
D,FiC,Cook,Fielder,1923,,Am,1956,1977
D,RnC,Cook,Robin,19xx,,Ct,1994,
D,ToC,Cookson,Tony,,,Ct,1991,
D,MaC,Coolidge,Martha,1947,,Am,1983,1994
P,MCC,Cooper,Merian C.,1893,1973,Am,1933,
D,SCo,Cooper,Stuart,,,Am,1977,
D,JcC,Chopra,Joyce,,199x,,1997,
D,FCr,Coraci,Frank,19xx,199x,Ct,1998,
D,NCo,Corea,Nicholas,,,Ct,1987,
M,,Coppola,Carmine,1911,1991,It,1974,1979
D,SfC,Coppola,Sofia,1971,2003,Am,2001,
W,FFC,Coppola,Francis Ford,1939,,Am,1963,1983
D,GCo,Cobiau,Gerard,,,Be,1989,
D,SeC,Corbucci,Sergio,,,It,1966,1978
D,RCo,Corman,Roger,1926,,Am,1955,1971
D,AlC,Corneau,Alain,,,Fr,1979,
W,HCs,Cornelius,Henry,1913,1958,Br,1948,1958
D,ICo,Cornell,John,,,Am,1988,
D,HuC,Cornfield,Hubert,1929,,Am,1956,1968
D,FCo,Cortes,Fernando,,,Me,1960,
D,AzC,Corti,Azel,19xx,,Os,1984,
D,DoC,Coscarelli,Don,,,Am,1970,1982
D,GPC,Cosmatos,George Pan,1941,,Gr,1974,1993
A,MdC,da Costa,Morton,,1989,Ct,1958,1962
D,CCG,Costa-Gavras,Constantin,1933,,Gr-Ru,1965,1998
A,KeC,Costner,Kevin,1955,,Am,1990,
D,xCo,Cottard,,,,Ct,1994,
D,ICt,Cotter,John,,,Am,1979,
D,ECo,Coutinho,Eduardo,,,Bz,1960,1984
A,NC,Coward,Sir Noel,1899,1973,Br,1941,1969
D,ACx,Cox,Alex,,,Br,1984,
C,,Cox,Jack,,,Br,1928,1938
D,PCx,Cox,Paul,,,Au,1981,1994
D,ACt,Crabtree,Arthur,19xx,,Ct,1958,
D,WlC,Crain,William,,,Ct,1972,
D,PCr,Crane,Peter,,,Am,1973,
D,JCr,Craven,Jay,,,Am,1994,
W,WCr,Craven,Wes,1939,,Am,1970,1988
E,ChC,Crichton,Charles,1910,1999,Br,1941,1988
W,MiC,Crichton,Michael,,,Br,1973,1981
D,MCf,Cristofer,Michael,,,,2001,
D,DCb,Crombie,Donald,,,,1983,
D,ICr,Cromwell,John,1888,1979,Am,1929,1961
D,DCr,Cronenberg,David,1948,,Ca,1970,1986
C,,Crosby,Floyd,,1985,Am,1930,1980
D,AC,Crosland,Alan,1894,1936,Am,1923,1935
D,ACj,Crosland,Alan jr,,,Am,1960,
B,CCw,Crowe,Cameron,,,Am,1985,1992
D,CCr,Crowe,Christopher,,,Ct,1988,1992
A,TCr,Cruise,Tom,19xx,,Am,1993,
D,MeC,"Cr""uper",Melanie,,,Ge,1996,
A,JaC,Bosen,Jens Cruz,1884,1942,Da,1906,1938
D,BCr,Crystal,Billy,,,Am,1992,
D,ACu,Cuaron,Alfonso,19xx,,Me,1990,
D,MCu,Cuesta,Michael,,,Ct,2001,
P,GC,Cukor,George,1899,1983,Am,,
D,IrC,Cummings,Irving,1888,1959,Am,1925,1951
P,,Cummins,Jack,1900,,Am,1935,1964
D,RuC,Cundieff,Rusty,19xx,,Am,1994,1997
P,RCu,Cunha,Richard,19xx,,Am,1958,1961
D,SSC,Cunningham,Sean S.,,,Am,1980,1983
P,DCs,Curtis,Dan,1928,,Am,1970,1983
D,ECs,Curtis,Edward S.,,,Am,1914,
W,,Curtis,Richard,1958,,Am,1994,
D,SCs,Curtis,Simon,,,Br,2000,
D,C,Kertesz,Mihaly,1888,1962,Hu,1919,
D,GCt,Cutts,Graham,1885,1958,Br,1920,1926
D,,Cybulski,Zbignew,,,Po,,
P,PCz,Czinner,Paul,1890,197x,Hu,1932,1966
D,DReD,Daalder,Renee,,,Am,1980,
D,HAA,dAbbadie dArrast,Harry,19xx,,Ct,1930,
W,JLD,Dabadie,Jean Loup,,,Fr,1983,
D,ACd,daFontoura,Antonio Carlos,,,Br,1968,
D,IDa,Dahl,John,,,Am,1990,1992
D,SaD,Daley,Sandy,,,Am,1970,
P,,Daley,Robert,,,Am,1976,
D,RoD,Dalva,Robert,,,Am,1983,
D,JdA,DAmato,Joe,,,It,1990,
D,DaD,Damiani,Damiono,,,Am,1982,
D,GrD,Damiano,Gerard,,,Am,1972,
D,AxD,Damianos,Alexis,,,Gr,1966,
D,MDa,Damski,Mel,,,Am,1980,1983
D,MDn,Daneliuc,Mircea,19xx,,,1994,
D,RdD,Daniel,Rod,,,Am,1991,
C,,Daniels,William,,,Am,,
D,TgD,Danielson,Tage,,,Sw,1980,
D,PDq,Danquart,Pepe,19xx,,Ct,1993,
D,HbD,Danska,Herbert,,,Ct,1966,
D,JoD,Dante,Joe,,,Am,1976,1980
D,FDa,Darabont,Frank,,199x,,1994,
D,JDy,Darby,Jonathan,19xx,199x,Ct,1997,
D,EwD,Darnell,Edwin,,,Ct,1998,
D,HDA,DArrast,Harry DAbadie,1893,1968,Am,1927,1934
D,LuD,Dardenne,Luc,,199x,,1990,1999
D,JDs,Dash,Julie,19xx,,Am,1992,
D,JD,Dassin,Jules,1911,2002,Am,1942,1980
D,HeD,Daugherty,Hershel,,,Am,1958,1963
W,DeD,Daves,Delmer,1904,1977,Am,1933,1965
D,ChD,David,Charles,,,Br,1945,
D,GDa,Davidson,Gordon,,,Am,1972,
D,MtD,Davidson,Martin,,,Am,1980,
D,TDv,Davies,Terence,19xx,,Ct,1990,
D,VDa,Davies,Valentine,19xx,,Ct,1955,
D,ADv,Davis,Andrew,,,Am,1988,1993
D,DDa,Davis,Desmond,,,Am,1981,
D,TDa,Davis,Tamra,,,Am,1993,1995
D,JFD,Davy,Jean-Fran{c}cois,19xx,,Fr,1982,
D,AMD,Dawson,Anthony M.,,,Am,1965,1983
D,ErD,Day,Ernest,,,Am,1981,
C,RDa,Day,Robert,1922,,Br,1957,1980
D,ADy,Dayan,Assi,,,,1993,
P,LyD,Dayton,Lyman,,,Ct,1990,
P,BDn,Dean,Basil,1888,1978,Br,1930,1939
D,AbA,de Antoni,Alberto,,,It,1917,
D,EdA,deAntonio,Emil,1950,1989,Am,1970,1989
D,WiD,Dear,William,,,Am,1983,1994
E,BaD,Dearden,Basil,1911,1971,Br,1941,1970
D,JDr,Dearden,James,,,Am,1991,
A,IdB,deBello,John,,,Am,1978,
D,PdB,de Broca,Philippe,,,Fr,1961,1987
C,JDB,De Bont,Jan,19xx,,Ct,1994,
D,xDB,De Bosio,,,,It,1975,
C,,"Deca""e",Henri,19xx,,Fr,1959,
D,MCg,deCanonge,Maurice,,,Ct,1949,
D,HDc,Decoin,Henri,1896,1969,Fr,1937,1964
D,EdC,de Concini,Ennio,,,It,1973,
D,FdC,deCordova,Frederick,1910,,Am,1945,1966
D,LdC,de Crescenzo,Luciano,,,It,1984,
A,AnD,Deed,Andre,19xx,,Ct,1921,
D,FDF,De Felitta,Frank,19xx,199x,Ct,1991,
B,EDF,Passarelli,Eduardo,1900,1984,It,1932,
D,ADA,Degli Abbati,Alberto,19xx,,It,1914,
D,xdH,deHeredia,gn,,,Sp,1950,
P,DDe,Deitch,Donna,19xx,,Ct,1985,
D,MdJ,de Jong,MiJke,19xx,,Du,1994,
D,FrD,Dekker,Fred,19xx,,Ct,1993,
D,MDK,DeKobra,Maurice,19xx,,Fr,1927,
D,EdE,de la Eglesia,Eloy,,,Sp,1983,
D,AdI,de la Iglesia,Alex,1967,,Sp,1995,
D,JnD,Delannoy,Jean,1908,,Fr,1940,1967
D,DdP,de la Patelliere,Denys,,,Ct,1980,
P,,De Laurentiis,Dino,1919,,It,1939,1981
P,,De Laurentiis,Frederico,1950,1981,It,1980,
P,,De Laurentiis,Raffaella,,,It,,
C,,Delerue,Georges,1925,,Fr,1958,1983
D,GdL,de Liguoro,Guiseppe,19xx,,It,1909,
D,JdL,deLimur,Jean,,,,1929,
D,JeD,Dell,Jeffrey,,,Br,1944,
W,LD,Delluc,Louis,1892,1924,Fr,1920,1924
D,PDp,Delpeut,Peter,19xx,,Ct,1994,
W,RdR,del Ruth,Roy,1895,1961,Am,1929,1960
D,DLD,DeLuise,Dom,,,Am,1979,
D,GdT,del Toro,Guillermo,19xx,,Me,1994,1997
M,ADx,Delvaux,Andre,1926,,Be,1953,1989
W,JDe,Demme,Jonathan,,2001,Am,1974,1980
D,TDe,Demme,Ted,,,Am,1992,
D,xDe,Demicheli,gn,,,Sp,1959,
D,CDM,DeMille,Cecil B.,1881,1959,Am,1913,1959
B,WDM,DeMille,William C.,1878,1955,Am,1916,1928
G,,DeMille,Agnes,1905,1993,Am,1922,
W,JqD,Demy,Jaques,1931,1990,Fr,1960,1979
D,RdN,deNiro,Robert,1943,,Am,1993,
D,ClD,Denis,Claire,1947,,Fr,1988,
D,PDe,Densham,Pen,,,Ct,1998,
W,MdO,de Oliveira,Manoel Candido Pinto,1908,,Pg,1930,1999
D,BdP,de Palma,Brian,,,,1968,1987
D,FdP,de Palma,Frank,,,,1986,
A,IDe,Depp,Johnny,1963,199x,,1997,
A,IDk,Harris,John Derek,1926,,Am,1964,1981
D,MDr,Deren,Maya,,,Am,1943,
W,PdR,de Roubais,Paul,,,Fr,1963,
W,GdS,De Santis,Guiseppe,1917,,It,1947,1972
C,CDe,Deschanel,Caleb,,,,1982,1990
D,VdS,de Sica,Vittorio,1901,1974,It,1941,1973
D,TDS,DeSimone,Tom,,,Am,1981,
D,ADT,de Toth,Andre,1912,,Hu,1940,1969
D,HoD,Deutsch,Howard,,,Am,1986,1994
D,CDv,Devers,Claire,19xx,,Fr,1993,
D,MdV,deVille,Michel,,,Fr,1986,1992
A,DdV,de Vito,Danny,,,Am,1988,1989
D,RDV,DeVito,Ralph,,,Am,1977,
D,IDx,Dexter,John,,1990,US,1969,1971
D,DvD,Dhavan,David,,,Ct,1998,
D,RDh,Dhery,Robert,19xx,,Fr,1967,
W,,Diamond,Isador A.L.,19xx,1988,Ct,1997,
C,EDi,Dickerson,Ernest,,,Ct,1991,1995
D,PdF,diFlorio,Paola,,,Ct,1999,
D,TdC,diCillo,Tom,,199x,,1995,
B,,Dickens,Charles,1812,1870,Br,1931,1975
B,id,James,Dickey,1923,1997,Am,1972,
D,ThD,Dickinson,Thorold,1903,,Br,1925,1955
D,WKD,Dickson,W.K.L.,,,Ct,1893,
D,ADg,Dienstag,Alan,19xx,,Am,1992,
A,WlD,Dieterle,Wilhelm,1893,1972,Ge,1926,1966
D,HDl,Dietl,Helmut,19xx,,Ge,1992,
D,AlD,DieuDonne,Albert,,,Fr,1924,
D,CDi,Digues,Carlos,,,Bz,1963,
D,FDL,DiLeo,Fernando,,,Am,1976,
D,IFD,Dillon,John Francis,1887,1934,Am,1929,1934
D,DiD,Dimopoulos,Dino,19xx,,Gr,1959,
D,RDi,Dimsey,Ross,,,Am,1983,
D,MDi,Dinner,Michael,,,Ct,1985,
D,WD,Disney,Walt,1901,1966,Am,1928,1951
D,EDj,Djarot,Eros,,,II,1989,
D,xDv,DiVolito,,,199x,,1997,
D,EDm,Dmytryk,Edward,1908,,Am,1935,1976
D,DDk,Dobkin,David,,,Ct,1998,
D,KeD,Dobson,Kevin,,,Am,1980,
M,,Dolan,Robert Emmett,1906,1972,Am,1941,1956
D,JDo,Doillon,Jaques,,199x,Fr,1990,
D,SHD,Dolz,Sonia Herman,19xx,,Du,1992,
D,RDo,Donaldson,Roger,,,,1977,1994
D,xDo,Donatien,gn,19xx,,Fr,1927,
D,VJD,Donehue,Vincent J.,1916,1966,Am,1959,1960
D,StD,Donen,Stanley,1924,199x,Am,1949,
D,ArD,Dong,Arthur,19xx,,Ct,1994,
D,DDy,Donnelly,Dennis,,,Ct,1978,
D,CD,Donner,Clive,1926,,Br,1956,1983
A,RD,Donner,Richard,1939,,Am,1962,1988
D,JDh,Donohue,Jack,1912,,Am,1950,1966
D,MAD,Donoghue,Mary Agnes,,,Am,1991,
A,KgD,Donovan,King,1919,,Am,1963,
D,MrD,Donovan,Martin,,,Ar,1986,1989
D,MkD,Donskoi,Mark,1897,1980,Ru,1927,1973
D,JDm,Dorman,Joseph,19xx,199x,Am,1998,
D,DDo,Dorrie,Doris,1955,,Ge,1980,
W,GDo,Douglas,Gordon,1909,,Am,1936,1977
A,KrD,Douglas,Kirk,1916,,Am,1973,
D,RtD,Douglas,Robert,,,,1963,
D,LDo,Doumani,Lorenzo,19xx,,Ct,2000,
D,KDo,Dowling,Kevin,19xx,,Ct,1995,
W,AD,Dovzhenko,Alexandr,1894,1956,Ru,1929,1947
W,RbD,Downey,Robert,,,Am,1969,
B,,Doyle,Arthur Conan,19xx,,Br,1900,1977
D,AdD,Drabo,Adama,19xx,,Ct,1991,
D,MiD,Drach,Michel,,,Fr,1974,1979
D,SDv,Dragojevic,Srdjan,,,Yu,1999,
D,SDr,Dragoti,Stan,,,,1979,1984
D,ADz,Drazan,Anthony,,,Ct,1991,
V,,Dreier,Hans,19xx,,Ge,1941,1951
W,ADr,Dreifuss,Arthur,,,Am,1967,
D,xDr,Dreville,gn,19xx,,Ct,1965,
D,CDr,Dreyer,Carl Theodor,1889,1968,Da,1920,1964
D,KDr,Dridi,Karim,,,Ct,1994,1996
D,EDr,Drilling,Eric,,,Ct,1998,
D,DDB,Dubroux,Danielle,,199x,Fr,1997,
D,Fdu,Du Chau,Frederik,,,Ct,1998,
D,SlD,Dudow,Slatan,,,,1930,
D,DDg,Dugan,Dennis,,,Ct,1996,
D,MDw,Dugowson,Martine,19xx,,Fr,1994,
W,IDu,Duigan,John,1951,,Au,1982,
D,PDu,Duffell,Peter,,,Am,1971,1982
A,BDu,Duke,Bill,,,Am,1991,1997
D,DDu,Duke,Daryl,,,Am,1973,
P,GD,Saisset-Schneider,Charlotte-E.G.,1882,1942,Fr,1915,1930
D,BrD,Dumont,Bruno,,,Fr,1998,
D,PDc,Duncan,Peter,,199x,,1997,
D,RiD,Dunlap,Richard,,,Am,1960,
D,GDu,Dunn,Gilbert,,,Am,1958,
P,,Dunne,Dominick,1925,199x,Am,1970,1997
D,RLn,Liebling,Rachel,19xx,,Am,1994,
V,,Dunn,Linwood,,,Am,1933,
M,GgD,Dunning,George,1998,,Am,1968,
P,GfD,Dunne,Griffin,,,Am,1997,
W,PhD,Dunne,Philip,1908,,Am,1955,1966
D,CDu,Dunye,Cheryl,,199x,Am,1996,
D,HDu,Duparc,Henri,19xx,,,1988,
W,EAD,Dupont,E.A.,,,Ct,1925,
D,JDu,Durand,Jean,19xx,,Fr,1912,1914
W,MDu,Duras,Marguerite,1914,,Fr,,
D,DnD,Duval,Daniel,,199x,Fr,1976,
D,RDu,Duvall,Robert,1931,199x,Am,1983,1997
D,JuD,Duvivier,Julien,1896,1967,Fr,1919,1963
D,ADw,Dwan,Alan,1885,1981,Am,1912,1961
W,,Joyce,Adrien,19xx,,Ct,1970,
A,CEa,Eastwood,Clint,1930,,Am,1977,1993
A,GEc,Eckman,"G""osta",1890,1938,Sw,1912,1937
D,HEc,Eckman,Hasse,1915,1938,Sw,1940,1964
D,UEd,Edel,Uli,,,Am,1982,1992
P,,Eddington,Samsom,1896,1983,Am,,
D,GuE,Edgren,Gustav,,,Sw,1935,
D,ThE,Edison,Thomas Alva,1847,1831,Am,1904,
A,BE,McEdwards,William Blake,1922,,Am,1955,1990
P,,Edwards,Buck,,,Am,1972,
D,JGE,Edwards,J. Gordon,,,Am,1915,1924
A,HeE,Edwards,Henry,1882,1952,Br,1932,1941
P,WEd,Edwards,William,,,Ct,1969,
P,CEd,Edzard,Christine,,,,1988,1992
D,AEy,Egoyan,Atom,1960,,,1984,1995
D,FrE,Eichorn,Franz,19xx,,Ct,1956,
D,SE,Eisenstein,Sergei,1898,1948,Ru,1924,1944
P,,Eisner,Hal,,,Am,,1988
M,MEk,Ek,Matt,,,Sw,1998,
D,MEl,Elias,Michael,19xx,,Ct,1994,
D,DEl,Ellen,Doug,19xx,199x,Ct,1998,
D,AiE,Elliott,Aiyana,,,Am,2000,
D,StE,Elliott,Stephan,,,Ct,1998,
D,BEE,Ellis,Bret Easton,,,Am,1987,
D,DRE,Ellis,David R.,,,Am,1996,
D,,Ellis,J,,,Am,1987,
D,IrE,Elman,Irving,,,Am,1958,
D,IEl,Else,John,19xx,,Am,1990,
D,ME,Folkard,William,1887,1967,Br,1912,1956
D,RlE,Emmerich,Roland,1946,,Ge,1991,1997
D,RoE,Enders,Robert,,,Am,1978,
D,CyE,Endfield,Cy,,,Am,1951,1969
D,xEn,Engel,,,,Ge,1935,
D,IEn,English,John,1903,,Br,1935,1951
P,GgE,Englund,George,,,Ct,1962,
E,REn,Enright,Ray,1896,1965,Am,1927,1939
D,IlE,Enyedi,Ildik^o,,,Hu,1990,
W,,Ephron,Henry,1911,1992,Am,,
B,NoE,Ephron,Nora,,,Am,1992,
D,JEp,Epstein,Jean,1897,1953,Fr,1922,1947
W,,Epstein,Julius J.,1910,1992,Am,1942,1972
D,MEp,Epstein,Marie,1899,,Fr,1933,1938
W,,Epstein,Philip G.,1910,,Am,1941,
D,REp,Epstein,Robert,,,Am,1984,
D,GeE,Erschbamer,Georg,19xx,,Ct,1992,
W,ChE,Erskine,Chester,1905,,Am,1934,1959
D,HEs,Essex,Harry,,,Am,1953,
W,id,Eszterhaz,Joe,1945,1998,Ct,1997,
D,EmE,Estevez,Emilio,,,,1990,
W,PEt,Etaix,Pierre,19xx,199x,Fr,1961,
D,JEu,Eustache,Jean,,,Fr,1964,1973
D,DME,Evans,David Mickey,19xx,,Ct,1993,1996
D,IEy,Eyres,John,19xx,,Ct,1992,
D,PFa,Faiman,Peter,,,Au,1986,
A,,Fairbanks,Douglas sr,,,Am,1922,1924
A,,Fairbanks,Douglas jr,,,Am,1947,1953
D,WiF,Fairchild,William,,,Am,1955,
D,FFf,Fairfax,Ferdinand,,,Ct,1991,
D,xFa,Falconi,gn,,,It,1948,
D,UgF,Falena,Ugo,19xx,,It,1910,1911
D,JaF,Fanaka,Jamaa,,,Am,1979,
A,HFa,Fancher,Hampton,1939,,Am,1999,
D,ArF,Fanck,Arnold,,,Ge,1925,
D,JFs,Fansten,Jaques,19xx,,Fr,1992,
D,JFg,Fargo,James,,,Am,1976,1982
D,BFA,Farman-Ara,Bahman,,,Ct,2001,
D,PFr,Farrelly,Peter,19xx,,Ct,1994,1998
D,IFa,Farrow,John,1904,1963,Au,1937,1959
D,DFg,Farrugia,Dominique,,,Fr,1999,
D,RWF,Fassbinder,Rainer Werner,1945,1982,Ge,1969,1979
D,LFa,Favio,Leonardo,,,Ar,1964,
D,LBF,Feirrera-Barbosa,Laurence,,,Fr,1999,
D,FeF,Feist,Felix E.,1906,1965,Am,1928,1952
P,,Feldman,Richard K.,,,Ct,1967,
D,JiF,Felter,James M.,,,Am,1991,
D,FF,Fellini,Frederico,1920,1993,It,1954,1992
D,AbF,Ferrara,Abel,,,Am,1981,1994
V,BmF,Ferren,Bram,,,Am,1988,
A,JFe,Ferrer,Jose,,,,1958,
A,MeF,Ferrer,Mel,,,,1959,
D,MFe,Ferreri,Marco,1928,1997,It,1956,1973
W,FFe,Ferrin,Frank,19xx,,Ct,1953,
D,CoF,Ferris,Costas,19xx,,Gr,1983,
D,LFl,Feuillade,Louis,19xx,,Fr,1908,
D,,Fescourt,Henri,19xx,,Fr,1911,
A,JqF,Frederix,Jaques,1888,1948,Fr,1916,1945
D,CFd,Field,Connie,19xx,,Am,1994,
D,TFd,Field,Todd,19xx,,Am,2001,
M,MFi,Figgis,Mike,,,GB,1988,1996
D,NFi,Finch,Nigel,,199x,,1995,
D,DFi,Fincher,David,1963,,Am,1992,1997
D,KFi,Finkleman,Ken,,,Am,1982,
D,SFi,Firstenberg,Sam,,,Am,1981,
C,GFi,Fishman,Billy,,199x,,1989,
D,JFi,Fisk,Jack,,,Am,1981,
D,TFg,Fitzgerald,Thom,,,Ct,1998,
D,GF,Fitzmaurice,George,1885,1941,Fr,1919,1932
D,SvF,Fischler,Steven,19xx,,Ct,1983,
E,TFi,Fisher,Terrence,1904,1980,Br,1947,1973
D,RFi,Fiveson,Robert S.td>,199x,,,1978,
D,PaF,Flaherty,Paul,,,Am,1994,
C,RoF,Flaherty,Robert J.,1884,1951,Am,1920,1948
B,,Flaubert,Guistine,,,Fr,,
D,GFl,Fleder,Gary,19xx,199x,Ct,1997,
D,DFl,Fleischer,Dave,,,Os,1939,1941
P,,Fleischer,Max,1889,1972,Os,1939,1941
D,RiF,Fleischer,Richard,1916,,Am,1946,1984
D,IsF,Florentine,Isaac,,,Ct,1990,
D,AFl,Fleming,Arthur,,,Am,1994,
B,,Fleming,Ian Lancaster,,,Br,1954,
D,VF,Fleming,Victor,1883,1949,Am,1920,1948
D,RmF,Flender,Rodman,19xx,,Ct,1994,
D,RFl,Florey,Robert,1900,1979,Fr,1927,1964
D,JFl,Flood,James,,,Am,1936,
D,IFy,Flynn,John,,,Am,1976,1994
D,TFy,Flynn,Tom,,,Am,1993,
W,LFo,Foder,Ladislav,,,Ct,1958,
D,FFo,Fokkema,Frouke,,,,1990,
D,LDF,Foldes,Lawrence D.,,,Am,1983,
D,JmF,Foley,James,,,Am,1984,1992
D,MrF,Foley,Maureen,,,Am,1998,
C,,Folsey,George,,,Am,,
A,BFo,Clarke,John,1926,,Br,1961,1980
D,MAF,Forcier,Marc-Andre,,,Ca,1985,1990
D,AFo,Ford,Aleksander,,,Po,1953,
D,HuF,Ford,Hugh,,,Br,1919,1920
D,IF,OFearna,Sean,1895,1973,Am,1917,1966
A,EuF,Forde,Eugene,1898,,Am,1933,1947
A,WaF,Seymour,Thomas,1896,,Br,1928,1948
D,MF,Forman,Milos,1932,,Cz,1964,1996
A,WFo,Frohs,Willi,1903,,Ge,1936,1939
D,MFo,Forster,Marc,,,Ct,2000,
D,BiF,Forsyth,Bill,,,Am,1982,1994
D,EFo,Forsyth,Ed,,,Am,1975,
D,IFo,Fortenberry,John,,,Ct,1998,
D,PFo,Pastrone,Giovanni,19xx,,It,1914,
G,BF,Fosse,Bob,1927,1987,Am,1952,1983
P,,Foster,David,,,Am,1972,1942
A,JoF,Foster,Jodie,1962,,Am,1991,
W,LRF,Foster,Lewis R.,1899,1974,Am,1948,1958
A,NF,Foster,Norman,1900,1976,Am,1936,1965
D,GFj,Fowler,Gene jr.,,,Am,1955,1959
D,WFx,Fox,W.,,,Ct,1942,
D,JtF,Frakes,Jonathan,19xx,199x,Ct,1996,
D,AlF,Francia,Aldo,,,Cl,1968,
D,GiF,Franciolini,Gianni,,,It,1952,
C,FrF,Francis,Freddie,1917,,Br,1961,1974
D,PtF,Francisci,Pietro,,,It,1954,1959
D,JFr,Franco,Jesse,,,Ct,1968,1970
D,GFr,Franju,Georges,1912,1987,Fr,1949,1965
D,CFr,Frank,Charles,,,Br,1953,
W,MFr,Frank,Melvin,1917,1988,Am,1950,1979
D,DvF,Frankel,David,19xx,,Ct,1995,
D,IFr,Frankenheimer,John,1930,,Am,1957,1982
A,CaF,Franklin,Carl,,,Am,1992,
D,CMF,Franklin,Chester M.,,,Am,1932,
D,HwF,Franklin,Howard,,,Am,1992,
D,RFr,Franklin,Richard,,,Am,1981,
P,SFr,Franklin,Sidney,1893,1972,Am,1916,1957
D,HLF,Fraser,Harry L.,,,Am,1950,
D,JsF,Frawley,James,,,Am,1976,
D,StF,Frears,Stephen,1931,,Br,1971,1993
D,RcF,Freda,Riccardo,1909,,,1946,1965
M,,Freed,Arthur,,,Am,1929,1950
D,JrF,Freedman,Jerrold,,,Am,1980,
C,ThF,Freeland,Thornton,1898,,Am,1929,1949
D,MoF,Freeman,Morgan,1970,,Am,1993,
